code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
002580,圣阳股份,-0.10400000000000001,-0.0695,-9.0277,-0.1804,-26.5125
000701,厦门信达,-0.1042,-0.1945,-54.6521,-0.2534,-26.3289
300513,恒泰实达,-0.1046,-0.019,-0.7534,-0.0812,-8.2726
300310,宜通世纪,-0.1056,-0.0509,,-0.221,-22.3692
002414,高德红外,-0.1063,-0.0118,-0.5591,-0.0445,-4.7519
300354,东华测试,-0.1063,-0.0223,-3.5724,-0.185,-24.89
002781,奇信股份,-0.1067,-0.0797,-2.5617,-0.1385,-13.9585
300331,苏大维格,-0.1069,-0.0422,-1.4422,-0.1453,-15.2166
600118,中国卫星,-0.1075,-0.0399,-1.702,-0.0848,-8.7806
000400,许继电气,-0.1076,-0.0305,-2.255,-0.0705,-7.0859
300438,鹏辉能源,-0.1076,-0.0449,-0.7082,-0.0946,-9.859
300456,耐威科技,-0.1077,-0.0187,-0.6699,-0.043,-4.8558
300336,新文化,-0.1078,-0.0115,-0.2681,-0.0303,-10.2009
300687,赛意信息,-0.1085,-0.0642,-0.9242,-0.3666,-37.1103
000682,东方电子,-0.1093,-0.0416,-1.5858,-0.1224,-12.9712
002459,天业通联,-0.1096,-0.0184,-1.9921,-0.1458,-14.6575
603018,中设集团,-0.1101,-0.0466,-1.1744,-0.0752,-7.5428
603843,正平股份,-0.1101,-0.0364,-2.9445,-0.0512,-5.8869
000020,深华发A,-0.1103,-0.0886,-108.617,-0.1871,-18.7113
002289,宇顺电子,-0.1106,-0.0374,,-0.0874,-11.2387
002017,东信和平,-0.1107,-0.0535,-3.1003,-0.1263,-13.6709
002236,大华股份,-0.1109,-0.0712,-1.0576,-0.1418,-15.312999999999999
600526,菲达环保,-0.1113,-0.0402,-25.3448,-0.0562,-6.226
603085,天成自控,-0.1114,-0.0306,-1.6979,-0.0548,-7.4198
002822,中装建设,-0.1116,-0.0703,-2.5095,-0.1288,-13.4272
002583,海能达,-0.1118,-0.0351,-3.8532,-0.0587,-7.2528
603008,喜临门,-0.1128,-0.0523,-1.9049,-0.0988,-10.4359
000550,江铃汽车,-0.1134,-0.1066,-10.4609,-0.2088,-21.3768
002279,久其软件,-0.1138,-0.0456,-1.1046,-0.092,-16.5443
600418,江淮汽车,-0.1141,-0.0872,,-0.1272,-15.6544
002028,思源电气,-0.1142,-0.049,-1.4396,-0.1405,-14.2753
002890,弘宇股份,-0.1147,-0.0315,-0.755,-0.1706,-17.9656
000673,当代东方,-0.115,-0.0159,-0.5803,-0.0361,-3.7712
002919,名臣健康,-0.115,-0.0657,-1.6896,-0.3953,-39.5651
603897,长城科技,-0.1152,-0.2383,-3.0378,-2.5625,-272.4741
002047,宝鹰股份,-0.1152,-0.0695,-1.99,-0.1343,-17.4361
300572,安车检测,-0.1153,-0.0401,-0.4451,-0.1033,-10.3395
000586,汇源通信,-0.1153,-0.052000000000000005,,-0.0975,-10.4018
600048,保利地产,-0.1155,-0.0128,-0.8128,-0.016,-2.4471
600753,东方银星,-0.1158,-0.7222,-31.3573,-2.1193,-211.9282
603486,科沃斯,-0.1162,-0.1041,-1.5179,-0.2307,-23.2651
