BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
649.70,1,胡桃夹子和四个王国,30.60,3,6410.67,2018-11-04 11:17:31
216.89,2,流浪猫鲍勃,10.21,3,1857.72,2018-11-04 11:17:31
203.90,3,飓风奇劫,9.60,3,3057.56,2018-11-04 11:17:31
153.60,4,雪怪大冒险,7.23,17,6399.08,2018-11-04 11:17:31
149.75,5,毒液：致命守护者,7.05,-4,149.75,2018-11-04 11:17:31
133.62,6,铁血战士,6.29,10,19905.88,2018-11-04 11:17:31
125.67,7,无双,5.92,36,124385.27,2018-11-04 11:17:31
120.94,8,昨日青空,5.70,10,7681.16,2018-11-04 11:17:31
106.43,9,滴答屋,5.01,4,1468.64,2018-11-04 11:17:31
74.11,10,冰封侠:时空行者,3.49,3,2218.89,2018-11-04 11:17:31
188.79,11,其它,1.00,0,0.00,2018-11-04 11:17:31
