broker,count,bamount,bcount,samount,scount,top3
国金证券股份有限公司成都青白江青江东路证券营业部,5,1530.81,4,416.6,1,"中迪投资,紫光学大,盛弘股份"
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,110,29298.57,57,26689.96,53,"南京证券,中铝国际,攀钢钒钛,"
中国银河证券股份有限公司杭州新塘路证券营业部,7,3727.95,3,2947.68,4,"金力永磁,荣安地产,兴瑞科技,"
深股通专用,27,115582.97,16,161969.89,11,"美的集团,洋河股份,五粮液,"
中国中投证券有限责任公司无锡清扬路证券营业部,18,13113.18,12,4394.09,6,"民生控股,长城证券,雅运股份,"
中国银河证券股份有限公司北京建国路证券营业部,14,4339.74,11,1522.84,3,"精伦电子,高斯贝尔,捷昌驱动,"
中信证券股份有限公司北京天通苑证券营业部,1,407.23,1,0.0,0,全新好
东兴证券股份有限公司泉州丰泽街证券营业部,7,2404.8,4,3234.75,3,"荣安地产,和晶科技,中迪投资,"
方正证券股份有限公司上海杨高南路证券营业部,12,5640.25,9,2874.46,3,"民生控股,蠡湖股份,高升控股,"
华鑫证券有限责任公司南昌红谷中大道证券营业部,5,1209.83,3,965.85,2,"智慧松德,紫光学大,荣安地产,"
东海证券股份有限公司洛阳周山路证券营业部,1,359.81,1,0.0,0,全新好
光大证券股份有限公司杭州庆春路证券营业部,4,1192.91,3,392.36,1,"荣安地产,新光圆成"
新时代证券股份有限公司宜昌东山大道证券营业部,5,1821.55,3,1364.79,2,"民生控股,精伦电子"
华泰证券股份有限公司浙江分公司,6,2335.65,5,802.94,1,"山鼎设计,乔治白,威唐工业,"
民生证券股份有限公司驻马店交通路证券营业部,3,808.75,2,167.55,1,"三晖电气,全新好,民生控股"
海通证券股份有限公司杭州解放路证券营业部,7,1962.91,2,4900.22,5,"汉嘉设计,民生控股,高斯贝尔,"
中国银河证券股份有限公司上海肇嘉浜路证券营业部,2,173.78,1,790.17,1,紫光学大
国泰君安证券股份有限公司上海福山路证券营业部,8,1888.42,4,2680.66,4,"汇金科技,维宏股份,全新好,"
广发证券股份有限公司泉州涂门街证券营业部,4,457.3,1,2039.18,3,民生控股
国信证券股份有限公司杭州市心中路证券营业部,6,730.34,4,496.59,2,"荣安地产,雪莱特,光洋股份,"
兴业证券股份有限公司杭州清泰街证券营业部,5,844.14,1,2644.1,4,"紫光学大,永太科技"
国金证券股份有限公司上海奉贤区金碧路证券营业部,24,6148.61,17,2738.45,7,"中铝国际,蠡湖股份,兴瑞科技,"
财通证券股份有限公司温岭中华路证券营业部,5,1220.11,2,1240.94,3,"铭普光磁,卧龙地产,全新好,"
海通证券股份有限公司蚌埠中荣街证券营业部,5,613.05,2,2372.09,3,"民生控股,一汽夏利,荣安地产,"
中信建投证券股份有限公司北京三里河路证券营业部,5,1994.72,3,807.98,2,"聚龙股份,安洁科技,紫光学大"
海通证券股份有限公司天津霞光道证券营业部,9,2562.3,4,3001.77,5,"永太科技,铭普光磁,乔治白,"
海通证券股份有限公司宁波中山东路证券营业部,2,0.0,0,1014.74,2,紫光学大
华鑫证券有限责任公司马鞍山分公司,3,1321.56,2,214.99,1,"隆盛科技,中迪投资,全新好"
信达证券股份有限公司辽阳工农大街证券营业部,1,0.0,0,180.44,1,民生控股
光大证券股份有限公司宁波甬江大道证券营业部,4,1759.5,3,620.83,1,"五矿稀土,*ST华信,*ST凯迪,"
华泰证券股份有限公司厦门厦禾路证券营业部,10,948.05,3,2140.95,7,"科创信息,金力永磁,维宏股份,"
中国银河证券股份有限公司上海浦东新区源深路证券营业部,3,184.5,1,664.47,2,"ST河化,紫光学大"
财富证券有限责任公司杭州绍兴路证券营业部,5,1442.4,1,3690.99,4,"长城证券,一汽夏利,紫光学大"
华泰证券股份有限公司绍兴府山证券营业部,4,1021.03,2,1439.44,2,"精伦电子,莲花健康,维宏股份,"
中国银河证券股份有限公司台州邮电路证券营业部,1,7393.17,1,0.0,0,五粮液
中国国际金融股份有限公司上海黄浦区湖滨路证券营业部,3,3965.58,2,4916.9,1,"安琪酵母,古井贡酒,五粮液"
中国中投证券有限责任公司重庆民权路证券营业部,1,685.63,1,0.0,0,顺鑫农业
国盛证券有限责任公司宁波桑田路证券营业部,9,3561.8,6,2015.72,3,"恒立实业,和晶科技,昂利康,"
华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,15,18298.53,7,18247.06,8,"南京证券,长城证券,五粮液,"
国泰君安证券股份有限公司深圳前海证券营业部,1,665.2,1,0.0,0,顺鑫农业
光大证券股份有限公司奉化南山路证券营业部,8,3427.11,8,0.0,0,"恒立实业,合金投资,闽东电力,"
中泰证券股份有限公司日照昭阳路证券营业部,1,420.72,1,0.0,0,顺鑫农业
申万宏源西部证券有限公司南宁英华路证券营业部,6,4176.46,4,1629.19,2,"金力永磁,恒立实业,绿庭投资"
中信证券股份有限公司北京总部证券营业部,1,0.0,0,4630.92,1,顺鑫农业
国泰君安证券股份有限公司南京太平南路证券营业部,3,1320.96,2,1010.93,1,"金力永磁,恒立实业,德新交运"
中信证券股份有限公司北京安外大街证券营业部,7,3544.65,3,5891.96,4,"金力永磁,南京证券,顺鑫农业"
浙商证券股份有限公司绍兴金柯桥大道证券营业部,1,0.0,0,1430.1,1,古井贡酒
天风证券股份有限公司上海浦明路证券营业部,2,860.51,2,0.0,0,"山鼎设计,恒立实业"
