Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
16.973455,35.15,Jackie Chan北京耀莱,1,4604,210101.00,131,45.63
24.948646,45.06,金逸北京大悦城IMAX店,2,2839,193460.50,63,68.14
20.919656,46.00,广州飞扬影城（正佳分店）,3,3174,178235.00,69,56.15
29.382264,42.29,首都电影院西单店,4,3214,170445.85,76,53.03
25.460829,39.00,武商摩尔国际电影城,5,4992,160912.00,128,32.23
19.952339,44.17,广州飞扬影城,6,2606,143223.00,59,54.96
24.600504,32.50,北京寰映合生汇店,7,2145,142612.30,66,66.49
17.361336,34.68,金逸北京荟聚IMAX店,8,2670,140854.10,77,52.75
17.885160,38.22,卢米埃北京长楹天街IMAX影城,9,2599,137465.00,68,52.89
20.657407,28.31,南京新街口国际影城,10,3341,136538.00,118,40.87
16.913159,28.38,北京UME国际影城双井店,11,2015,134154.25,71,66.58
23.219305,34.61,武汉汉街万达广场店,12,3392,129732.00,98,38.25
38.694731,48.72,首都电影院昌平店,13,2923,127352.74,60,43.57
23.873282,50.87,巨幕影城（武汉光谷广场资本大厦店）,14,3968,126396.00,78,31.85
31.965488,64.05,中影国际影城武汉光谷天河店,15,3779,124349.00,59,32.91
16.318022,28.47,CGV影城 深圳壹方城店,16,2192,122005.00,77,55.66
18.140117,23.86,SFC上影影城（港汇恒隆永华店）,17,1909,121977.50,80,63.90
15.918210,20.97,北京市金泉港国际影城,18,2433,121333.00,116,49.87
29.773324,30.21,重庆UME国际影城（江北）,19,3021,116776.65,100,38.65
23.936842,30.32,郑州奥斯卡熙地港国际影城,20,3032,114740.00,100,37.84
17.657866,22.54,北京UME国际影城（安贞店）,21,1826,114213.20,81,62.55
21.128107,36.83,上海百丽宫影城（环贸iapm店）,22,1547,113773.00,42,73.54
18.303656,31.87,兰州城关万达广场店,23,2390,111691.50,75,46.73
21.431890,33.83,南昌红谷滩万达广场店,24,2537,111068.80,75,43.78
27.875679,46.80,中影国际影城北京昌平永旺店,25,2527,110941.50,54,43.90
24.404342,29.87,成都太平洋电影城,26,3077,110598.62,103,35.94
18.558139,35.47,成都百丽宫影城（太古里店）,27,2128,107399.00,60,50.47
14.723144,27.80,上海五角场万达广场店,28,2057,106471.60,74,51.76
16.480024,25.93,深圳市万象影城罗湖万象城店,29,2178,106144.00,84,48.73
15.735443,28.69,深圳市百老汇电影中心影城,30,2008,105589.00,70,52.58
15.830692,28.61,金逸上海龙之梦IMAX店,31,1888,104115.10,66,55.15
23.990735,38.03,长沙横店潇湘王府井影城,32,3004,104099.60,79,34.65
24.005998,35.92,武汉博纳国际电影城,33,3017,103059.00,84,34.16
19.274000,38.74,北京嘉华国际影城,34,2092,102998.40,54,49.23
17.329351,30.63,百丽宫影城长宁来福士店,35,1654,102963.00,54,62.25
22.452907,37.02,广州市百丽宫猎德影院,36,1925,102025.00,52,53.00
11.198456,22.33,北京美嘉欢乐影城（三里屯店）,37,1161,100154.00,52,86.27
15.271789,27.63,中影国际影城上海金科路店,38,2072,100127.00,75,48.32
17.888926,36.09,北京美嘉欢乐影城（中关村）,39,1985,99679.00,55,50.22
21.855498,33.58,中影国际影城上海合生汇店,40,2183,98656.00,65,45.19
12.409294,21.91,金逸福州宝龙IMAX店,41,2344,98143.00,107,41.87
22.573917,18.87,新影联华谊兄弟影院(望京华彩店),42,2208,97958.30,117,44.37
30.176035,25.53,UME国际影城（沙坪坝店）,43,3089,97628.98,121,31.61
