code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
002931,002931,锋龙股份,2018-03-22,2018-04-03,2222,2000,12.36,22.98,0.85,2.7460000000000004,0.02
603214,732214,爱婴室,2018-03-21,2018-03-30,2500,2250,19.95,22.98,1.0,4.987,0.03
300504,300504,天邑股份,2018-03-21,2018-03-30,6685,6017,13.06,22.98,2.55,8.731,0.04
300634,300634,彩讯股份,2018-03-14,2018-03-23,4001,3601,7.17,22.98,1.2,2.8689999999999998,0.04
002930,002930,宏川智慧,2018-03-14,2018-03-28,6083,5475,8.53,22.97,2.4,5.189,0.04
600929,730929,湖南盐业,2018-03-14,2018-03-26,15000,13500,3.71,22.99,4.5,5.565,0.08
002928,002928,华夏航空,2018-02-14,2018-03-02,4050,3645,20.64,22.99,1.2,8.359,0.04
002929,002929,润建通信,2018-02-13,2018-03-01,5519,4967,23.95,22.99,2.2,13.217,0.04
300741,300741,华宝股份,2018-02-13,2018-03-01,6159,5543,38.6,22.99,1.8,23.774,0.05
603059,732059,倍加洁,2018-02-09,2018-03-02,2000,2000,24.07,22.99,2.0,4.814,0.02
603680,732680,今创集团,2018-02-08,2018-02-27,4200,3780,32.69,22.99,1.2,13.73,0.04
002927,002927,泰永长征,2018-02-07,2018-02-23,2345,2111,14.78,22.99,0.9,3.466,0.02
603712,732712,七一二,2018-02-07,2018-02-26,10000,9000,4.55,22.99,3.0,4.55,0.06
600901,730901,江苏租赁,2018-02-07,2018-03-01,64000,57600,6.25,22.98,19.1,40.0,0.22
603156,732156,养元饮品,2018-01-31,2018-02-12,5381,3875,78.73,17.74,1.6,34.147,0.03
300740,300740,御家汇,2018-01-30,2018-02-08,4000,3600,21.23,22.99,1.6,8.492,0.03
603709,732709,中源家居,2018-01-29,2018-02-08,2000,2000,19.86,22.99,2.0,3.972,0.02
300644,300644,南京聚隆,2018-01-26,2018-02-06,1600,1600,18.03,22.99,1.6,2.885,0.01
603871,732871,嘉友国际,2018-01-25,2018-02-06,2000,2000,41.89,22.99,2.0,8.378,0.02
002926,002926,华西证券,2018-01-24,2018-02-05,52500,47250,9.46,22.97,15.75,0.0,0.16
603506,732506,南都物业,2018-01-23,2018-02-01,1984,1984,16.25,22.98,1.9,3.2239999999999998,0.02
603516,732516,淳中科技,2018-01-23,2018-02-02,2339,2105,19.64,22.99,0.8,4.593,0.03
300739,300739,明阳电路,2018-01-23,2018-02-01,3080,2772,22.3,22.99,1.05,6.867999999999999,0.03
601838,780838,成都银行,2018-01-17,2018-01-31,36123,32510,6.99,9.99,10.8,25.25,0.14
300737,300737,科顺股份,2018-01-16,2018-01-25,15267,13740,9.95,22.98,4.55,15.19,0.07
603356,732356,华菱精工,2018-01-11,2018-01-24,3334,3001,10.21,22.98,1.3,4.289,0.03
603895,732895,天永智能,2018-01-10,2018-01-22,1930,1930,18.33,22.99,1.9,3.5380000000000003,0.02
300738,300738,奥飞数据,2018-01-10,2018-01-19,1632,1632,18.15,22.99,1.6,2.9619999999999997,0.01
300624,300624,万兴科技,2018-01-05,2018-01-18,2000,2000,16.55,22.96,2.0,3.31,0.01
002925,002925,盈趣科技,2018-01-04,2018-01-15,7500,6750,22.5,22.99,2.25,16.875,0.04
603056,732056,德邦股份,2018-01-04,2018-01-16,10000,9000,4.84,22.97,3.0,4.84,0.06
300733,300733,西菱动力,2018-01-04,2018-01-16,4000,3600,12.9,22.98,1.6,5.162999999999999,0.03
601828,780828,美凯龙,2018-01-03,2018-01-17,31500,28350,10.23,19.44,9.4,32.224000000000004,0.12
300736,300736,百邦科技,2017-12-28,2018-01-09,1358,1358,19.18,22.99,1.35,2.6039999999999996,0.01
300664,300664,鹏鹞环保,2017-12-26,2018-01-05,8000,7200,8.88,22.98,2.4,7.104,0.05
603161,732161,科华控股,2017-12-26,2018-01-05,3340,3006,16.75,22.98,1.3,5.595,0.03
002923,002923,润都股份,2017-12-26,2018-01-05,2500,2250,17.01,22.82,1.0,4.253,0.02
603080,732080,新疆火炬,2017-12-21,2018-01-03,3550,3195,13.6,22.99,1.4,4.828,0.03
603329,732329,上海雅仕,2017-12-20,2017-12-29,3300,2970,10.54,22.99,1.3,3.478,0.03
002922,002922,伊戈尔,2017-12-20,2017-12-29,3300,2970,12.41,22.87,1.3,4.095,0.03
300735,300735,光弘科技,2017-12-19,2017-12-29,8868,7981,9.99,22.98,3.5,8.859,0.05
603655,732655,朗博科技,2017-12-19,2017-12-29,2650,2385,6.46,22.96,1.0,1.712,0.03
002921,002921,联诚精密,2017-12-15,2017-12-27,2000,2000,11.55,22.99,2.0,2.31,0.01
300684,300684,中石科技,2017-12-14,2017-12-27,2172,1955,8.0,22.98,0.85,1.7380000000000002,0.02
002920,002920,德赛西威,2017-12-14,2017-12-26,10000,9000,20.42,19.78,3.0,23.73,0.05
603283,732283,赛腾股份,2017-12-13,2017-12-25,4000,3600,6.9,22.98,1.6,2.76,0.03
002918,002918,蒙娜丽莎,2017-12-07,2017-12-19,3943,3549,31.29,22.99,1.55,12.338,0.03
002919,002919,名臣健康,2017-12-07,2017-12-18,2036,1832,12.56,22.99,0.7,2.557,0.02
603477,732477,振静股份,2017-12-06,2017-12-18,6000,5400,5.58,22.98,2.4,3.3480000000000003,0.04
600025,730025,华能水电,2017-12-05,2017-12-15,180000,162000,2.17,76.86,54.0,39.06,0.51
300732,300732,设研院,2017-11-30,2017-12-12,1800,1800,41.42,22.99,1.8,7.456,0.01
603890,732890,春秋电子,2017-11-30,2017-12-12,3425,3083,23.72,22.98,1.3,8.124,0.03
002916,002916,深南电路,2017-11-30,2017-12-13,7000,6300,19.3,22.99,2.8,13.51,0.04
300731,300731,科创新源,2017-11-29,2017-12-08,2200,1980,13.24,22.98,0.85,2.9130000000000003,0.02
002917,002917,金奥博,2017-11-29,2017-12-08,2827,2544,11.64,22.98,0.8,3.2910000000000004,0.03
002915,002915,中欣氟材,2017-11-23,2017-12-05,2800,2520,6.43,22.96,1.1,1.8,0.02
300730,300730,科创信息,2017-11-23,2017-12-05,2324,2092,8.36,22.98,0.9,1.943,0.02
300729,300729,乐歌股份,2017-11-22,2017-12-01,2150,1935,16.06,22.99,0.85,3.4530000000000003,0.02
