Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
18.889754,39.11,Jackie Chan北京耀莱,1,4850,227811.00,124,46.97
24.288425,43.87,金逸北京大悦城IMAX店,2,2720,190628.50,62,70.08
27.215619,39.17,首都电影院西单店,3,2977,168102.56,76,56.47
19.562221,43.02,广州飞扬影城（正佳分店）,4,2839,164183.00,66,57.83
19.836893,37.45,上海五角场万达广场店,5,2734,161732.60,73,59.16
17.704608,29.71,北京UME国际影城双井店,6,2139,151081.75,72,70.63
18.437061,39.40,卢米埃北京长楹天街IMAX影城,7,2561,150387.00,65,58.72
21.836786,33.45,武商摩尔国际电影城,8,4248,144643.00,127,34.05
25.387480,33.54,北京寰映合生汇店,9,2113,144264.40,63,68.27
17.150795,22.60,北京市金泉港国际影城,10,2531,138184.00,112,54.60
56.666137,68.71,邢台万达广场店,11,4466,136206.00,65,30.50
18.153309,32.80,金逸上海龙之梦IMAX店,12,2165,135674.30,66,62.67
18.393572,33.27,中影国际影城上海金科路店,13,2429,130895.00,73,53.89
18.764270,24.68,SFC上影影城（港汇恒隆永华店）,14,1950,130840.20,79,67.10
16.357832,32.67,金逸北京荟聚IMAX店,15,2483,129163.80,76,52.02
16.826883,29.36,CGV影城 深圳壹方城店,16,2231,126781.00,76,56.83
17.645141,35.18,北京美嘉欢乐影城（三里屯店）,17,1759,124169.00,50,70.59
18.205378,33.19,深圳市百老汇电影中心影城,18,2290,123760.00,69,54.04
25.146322,41.46,广州市百丽宫猎德影院,19,2073,122647.00,50,59.16
17.574825,24.09,南京新街口国际影城,20,2722,120652.00,113,44.32
32.015285,51.68,上海和平影都,21,2274,120612.00,44,53.04
27.533121,55.17,中影国际影城武汉光谷天河店,22,3255,115669.00,59,35.54
20.631049,28.14,北京华影天映传奇时代影城,23,1660,112101.00,59,67.53
18.594360,31.73,广州白云万达广场店,24,2031,111155.80,64,54.73
20.075267,29.93,武汉汉街万达广场店,25,2813,110924.80,94,39.43
20.185741,35.19,上海百丽宫影城（环贸iapm店）,26,1478,109773.00,42,74.27
14.283582,23.81,CGV影城 上海七宝店,27,1595,108084.00,67,67.76
32.287529,40.65,首都电影院昌平店,28,2439,105924.78,60,43.43
23.274810,35.77,中影国际影城上海合生汇店,29,2289,105318.00,64,46.01
14.336625,31.74,广州飞扬影城,30,1936,105092.00,61,54.28
25.484439,33.38,金逸影城北京中关村店,31,1736,102388.10,52,58.98
21.742105,27.54,郑州奥斯卡熙地港国际影城,32,2754,101618.00,100,36.90
21.017350,33.31,长沙横店潇湘王府井影城,33,2665,101411.20,80,38.05
10.823711,26.01,济南万达影城世茂广场店,34,2003,99691.80,77,49.77
15.346130,24.14,深圳市万象影城罗湖万象城店,35,2004,99197.00,83,49.50
24.936737,35.13,金逸广州海珠城IMAX店 ,36,1897,98632.75,54,51.99
17.241379,35.00,奥斯卡熙地港国际影城,37,2415,97577.90,69,40.40
22.183865,33.19,武汉博纳国际电影城,38,2788,96386.00,84,34.57
12.887846,16.26,德纳国际影城杭州萧山店,39,1968,95290.00,121,48.42
