BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
1013.40,1,飓风奇劫,26.67,4,5877.90,2018-11-05 22:52:10
755.23,2,胡桃夹子和四个王国,19.87,4,8972.81,2018-11-05 22:52:10
540.02,3,流浪猫鲍勃,14.21,4,3426.18,2018-11-05 22:52:10
388.10,4,无双,10.21,37,125756.96,2018-11-05 22:52:10
297.22,5,铁血战士,7.82,11,20869.87,2018-11-05 22:52:10
221.26,6,冰封侠:时空行者,5.82,4,2926.12,2018-11-05 22:52:10
145.93,7,嗝嗝老师,3.84,25,14212.35,2018-11-05 22:52:10
95.49,8,昨日青空,2.51,11,8079.81,2018-11-05 22:52:10
93.67,9,滴答屋,2.46,5,1743.61,2018-11-05 22:52:10
82.87,10,找到你,2.18,32,28107.70,2018-11-05 22:52:10
166.80,11,其它,1.00,0,0.00,2018-11-05 22:52:10
