code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000593,大通燃气,10,5181.49,2461.82,2719.67,日涨幅偏离值达到7%的前五只证券,0.07,0.08,2018-11-05
000606,顺利办,9.9849,7816.71,4338.58,3478.12,日涨幅偏离值达到7%的前五只证券,0.13,0.10,2018-11-05
000659,珠海中富,9.9688,5572.13,3729.20,1842.93,日涨幅偏离值达到7%的前五只证券,0.22,0.11,2018-11-05
000669,金鸿控股,9.9859,10126.57,7831.28,2295.29,日涨幅偏离值达到7%的前五只证券,0.15,0.04,2018-11-05
000711,京蓝科技,4.9475,24002.73,9147.88,14854.84,日换手率达到20%的前五只证券,0.13,0.21,2018-11-05
000931,中关村,10.0167,4457.33,2899.05,1558.28,日涨幅偏离值达到7%的前五只证券,0.15,0.08,2018-11-05
002072,凯瑞德,10,10651.79,7291.45,3360.34,日涨幅偏离值达到7%的前五只证券,0.19,0.09,2018-11-05
002147,新光圆成,-9.9582,411.35,130.20,281.16,日跌幅偏离值达到7%的前五只证券,0.46,1.00,2018-11-05
002617,露笑科技,2.6119,84745.32,25674.61,59070.71,日振幅值达到15%的前五只证券,0.21,0.49,2018-11-05
002617,露笑科技,2.6119,84745.32,25674.61,59070.71,日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,0.21,0.49,2018-11-05
002665,首航节能,-10,2697.35,1076.77,1620.59,日跌幅偏离值达到7%的前五只证券,0.66,1.00,2018-11-05
002668,奥马电器,-9.9483,49203.10,20377.63,28825.47,日跌幅偏离值达到7%的前五只证券,0.45,0.63,2018-11-05
002687,乔治白,10.0464,10478.00,7420.57,3057.43,日涨幅偏离值达到7%的前五只证券,0.18,0.08,2018-11-05
002700,新疆浩源,10,6276.54,4727.75,1548.79,日涨幅偏离值达到7%的前五只证券,0.12,0.04,2018-11-05
002739,万达电影,-10.0116,8243.97,3674.15,4569.82,日跌幅偏离值达到7%的前五只证券,0.68,0.84,2018-11-05
002843,泰嘉股份,10.0068,18287.92,8981.19,9306.73,日涨幅偏离值达到7%的前五只证券,0.28,0.29,2018-11-05
002843,泰嘉股份,10.0068,27547.10,13823.92,13723.18,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.21,0.21,2018-11-05
002862,实丰文化,10,11300.64,6397.26,4903.37,日涨幅偏离值达到7%的前五只证券,0.24,0.18,2018-11-05
002862,实丰文化,10,11300.64,6397.26,4903.37,日换手率达到20%的前五只证券,0.24,0.18,2018-11-05
002935,天奥电子,-2.0475,6679.08,2915.49,3763.59,日换手率达到20%的前五只证券,0.07,0.09,2018-11-05
002937,兴瑞科技,-3.893,14817.23,7108.28,7708.95,日振幅值达到15%的前五只证券,0.07,0.08,2018-11-05
002937,兴瑞科技,-3.893,14817.23,7108.28,7708.95,日换手率达到20%的前五只证券,0.07,0.08,2018-11-05
002939,长城证券,-0.0683,33404.38,13114.27,20290.11,日换手率达到20%的前五只证券,0.05,0.08,2018-11-05
002940,昂利康,-1.2884,5981.53,2744.13,3237.40,日换手率达到20%的前五只证券,0.05,0.06,2018-11-05
200018,神州B,8.5938,181.07,113.73,67.34,日涨幅偏离值达到7%的前五只证券,0.47,0.28,2018-11-05
200168,舜喆B,7.2727,316.35,166.13,150.23,日涨幅偏离值达到7%的前五只证券,0.55,0.50,2018-11-05
300091,金通灵,9.8931,12615.36,6615.38,5999.98,日涨幅偏离值达到7%的前五只证券,0.13,0.11,2018-11-05
300126,锐奇股份,9.9609,10309.82,3956.65,6353.17,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.18,0.28,2018-11-05
300508,维宏股份,10.0068,6092.24,4071.54,2020.70,日涨幅偏离值达到7%的前五只证券,0.15,0.07,2018-11-05
300670,大烨智能,9.9942,4104.61,2217.64,1886.97,日涨幅偏离值达到7%的前五只证券,0.06,0.05,2018-11-05
300670,大烨智能,9.9942,4104.61,2217.64,1886.97,日换手率达到20%的前五只证券,0.06,0.05,2018-11-05
300694,蠡湖股份,5.4335,9267.89,5154.62,4113.27,日换手率达到20%的前五只证券,0.06,0.04,2018-11-05
300724,捷佳伟创,9.9864,9244.69,6618.50,2626.18,日涨幅偏离值达到7%的前五只证券,0.12,0.05,2018-11-05
300730,科创信息,10.0046,12712.19,4356.69,8355.50,日涨幅偏离值达到7%的前五只证券,0.07,0.14,2018-11-05
300730,科创信息,10.0046,12712.19,4356.69,8355.50,日换手率达到20%的前五只证券,0.07,0.14,2018-11-05
300748,金力永磁,-5.2392,18077.45,7877.71,10199.74,日振幅值达到15%的前五只证券,0.08,0.10,2018-11-05
300748,金力永磁,-5.2392,18077.45,7877.71,10199.74,日换手率达到20%的前五只证券,0.08,0.10,2018-11-05
300749,顶固集创,-4.4668,8287.06,3009.92,5277.15,日振幅值达到15%的前五只证券,0.05,0.09,2018-11-05
300749,顶固集创,-4.4668,8287.06,3009.92,5277.15,日换手率达到20%的前五只证券,0.05,0.09,2018-11-05
600064,南京高科,10.0741,9154.54,4916.13,4238.41,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.18,0.15,2018-11-05
600086,东方金钰,-9.9557,321.45,76.68,244.77,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.31,1.00,2018-11-05
600086,东方金钰,-9.9557,731.05,109.94,621.11,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.18,1.00,2018-11-05
600122,宏图高科,-10.0601,478.24,59.96,418.28,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.14,1.00,2018-11-05
600122,宏图高科,-10.0601,1730.78,475.18,1255.61,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,0.31,0.82,2018-11-05
600226,瀚叶股份,-7.5301,58440.54,7714.51,50726.03,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,0.06,0.42,2018-11-05
600462,九有股份,10.0719,7694.66,3225.07,4469.58,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.15,0.21,2018-11-05
600560,金自天正,10.0121,3176.90,2668.28,508.62,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.86,0.16,2018-11-05
600796,钱江生化,10.0746,4359.97,3325.50,1034.48,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.51,0.16,2018-11-05
601012,隆基股份,10,88529.48,46433.14,42096.34,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,0.18,0.16,2018-11-05
603105,芯能科技,3.211,6194.04,4261.99,1932.05,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.03,2018-11-05
603297,永新光学,-2.0749,4578.28,2064.62,2513.66,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.05,0.06,2018-11-05
603790,雅运股份,5.4511,8871.97,4565.69,4306.28,有价格涨跌幅限制的日换手率达到20%的前三只证券,0.07,0.07,2018-11-05
900922,三毛B股,7.3913,25.36,16.42,8.93,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,0.47,0.26,2018-11-05
