AvgPrice,AvpPeoPle,BoxOffice,BoxOffice_Up,IRank,MovieDay,MovieName,SumBoxOffice,WomIndex
31,7,975,-51,1,4,飓风奇劫,5840,
36,3,742,-69,2,4,胡桃夹子和四个王国,8959,
33,6,527,-57,3,4,流浪猫鲍勃,3413,
33,6,377,-57,4,37,无双,125745,
36,3,286,-63,5,11,铁血战士,20859,
32,2,210,-61,6,4,冰封侠:时空行者,2915,
31,5,143,-62,7,25,嗝嗝老师,14209,
32,2,94,-77,8,11,昨日青空,8078,
34,2,92,-67,9,5,滴答屋,1742,
31,4,81,-61,10,32,找到你,28105,
