date,code,name,weight
2018-10-30,600521,华海药业,0.29
2018-10-30,600525,长园集团,0.26
2018-10-30,600528,中铁工业,0.38
2018-10-30,600536,中国软件,0.26
2018-10-30,600545,卓郎智能,0.15
2018-10-30,600557,康缘药业,0.14
2018-10-30,600563,法拉电子,0.17
2018-10-30,600565,迪马股份,0.13
2018-10-30,600572,康恩贝,0.28
2018-10-30,600575,皖江物流,0.14
2018-10-30,600578,京能电力,0.15
2018-10-30,600580,卧龙电气,0.14
2018-10-30,600582,天地科技,0.22
2018-10-30,600584,长电科技,0.34
2018-10-30,600594,益佰制药,0.13
2018-10-30,600597,光明乳业,0.16
2018-10-30,600598,北大荒,0.22
2018-10-30,600600,青岛啤酒,0.35
2018-10-30,600611,大众交通,0.14
2018-10-30,600614,鹏起科技,0.12
2018-10-30,600618,氯碱化工,0.05
2018-10-30,600623,华谊集团,0.17
2018-10-30,600633,浙数文化,0.17
2018-10-30,600635,大众公用,0.22
2018-10-30,600639,浦东金桥,0.09
2018-10-30,600640,号百控股,0.1
2018-10-30,600642,申能股份,0.48
2018-10-30,600643,爱建集团,0.35
2018-10-30,600645,中源协和,0.17
2018-10-30,600648,外高桥,0.17
2018-10-30,600649,城投控股,0.23
2018-10-30,600651,飞乐音响,0.08
2018-10-30,600655,豫园股份,0.27
2018-10-30,600657,信达地产,0.11
2018-10-30,600664,哈药股份,0.18
2018-10-30,600673,东阳光科,0.41
2018-10-30,600687,刚泰控股,0.07
2018-10-30,600694,大商股份,0.13
2018-10-30,600717,天津港,0.21
2018-10-30,600718,东软集团,0.3
2018-10-30,600729,重庆百货,0.23
2018-10-30,600737,中粮糖业,0.24
2018-10-30,600743,华远地产,0.08
2018-10-30,600748,上实发展,0.09
2018-10-30,600750,江中药业,0.13
2018-10-30,600751,海航科技,0.16
2018-10-30,600754,锦江股份,0.12
2018-10-30,600755,厦门国贸,0.29
2018-10-30,600757,长江传媒,0.14
2018-10-30,600759,洲际油气,0.13
2018-10-30,600760,中航沈飞,0.48
2018-10-30,600765,中航重机,0.15
2018-10-30,600770,综艺股份,0.12
2018-10-30,600773,西藏城投,0.1
2018-10-30,600777,新潮能源,0.16
2018-10-30,600787,中储股份,0.21
2018-10-30,600801,华新水泥,0.31
2018-10-30,600808,马钢股份,0.43
2018-10-30,600811,东方集团,0.39
2018-10-30,600823,世茂股份,0.21
2018-10-30,600827,百联股份,0.23
2018-10-30,600835,上海机电,0.16
2018-10-30,600839,四川长虹,0.31
2018-10-30,600848,上海临港,0.18
2018-10-30,600859,王府井,0.15
2018-10-30,600862,中航高科,0.07
2018-10-30,600863,内蒙华电,0.21
2018-10-30,600869,智慧能源,0.13
2018-10-30,600872,中炬高新,0.46
2018-10-30,600874,创业环保,0.11
2018-10-30,600875,东方电气,0.27
2018-10-30,600879,航天电子,0.44
2018-10-30,600881,亚泰集团,0.19
2018-10-30,600884,杉杉股份,0.26
2018-10-30,600885,宏发股份,0.31
2018-10-30,600895,张江高科,0.24
2018-10-30,600908,无锡银行,0.18
2018-10-30,600917,重庆燃气,0.05
2018-10-30,600936,广西广电,0.16
2018-10-30,600939,重庆建工,0.09
2018-10-30,600967,内蒙一机,0.34
2018-10-30,600970,中材国际,0.2
2018-10-30,600971,恒源煤电,0.11
2018-10-30,600978,宜华生活,0.16
2018-10-30,600993,马应龙,0.15
2018-10-30,600996,贵广网络,0.07
2018-10-30,601000,唐山港,0.24
2018-10-30,601001,大同煤业,0.14
2018-10-30,601016,节能风电,0.14
2018-10-30,601019,山东出版,0.07
2018-10-30,601020,华钰矿业,0.05
2018-10-30,601098,中南传媒,0.29
2018-10-30,601127,小康股份,0.1
2018-10-30,601128,常熟银行,0.26
2018-10-30,601168,西部矿业,0.41
2018-10-30,601179,中国西电,0.24
2018-10-30,601200,上海环境,0.15
2018-10-30,601233,桐昆股份,0.39
2018-10-30,601311,骆驼股份,0.14
2018-10-30,601608,中信重工,0.16
2018-10-30,601678,滨化股份,0.16
2018-10-30,601689,拓普集团,0.11
2018-10-30,601717,郑煤机,0.2
2018-10-30,601777,力帆股份,0.09
2018-10-30,601801,皖新传媒,0.13
2018-10-30,601811,新华文轩,0.05
2018-10-30,601872,招商轮船,0.34
2018-10-30,601880,大连港,0.21
