date,deposit_type,rate
2011-04-06,零存整取、整存零取、存本取息定期存款(五年),3.25
2011-04-06,零存整取、整存零取、存本取息定期存款(一年),2.85
2011-04-06,通知存款(七天),1.49
2011-04-06,通知存款(一天),0.95
2011-04-06,协定存款(定期),1.31
2011-02-09,定活两便(定期),--
2011-02-09,定期存款整存整取(半年),2.80
2011-02-09,定期存款整存整取(二年),3.90
2011-02-09,定期存款整存整取(三个月),2.60
2011-02-09,定期存款整存整取(三年),4.50
2011-02-09,定期存款整存整取(五年),5.00
2011-02-09,定期存款整存整取(一年),3.00
2011-02-09,活期存款(不定期),0.40
2011-02-09,零存整取、整存零取、存本取息定期存款(三年),2.80
2011-02-09,零存整取、整存零取、存本取息定期存款(五年),3.00
2011-02-09,零存整取、整存零取、存本取息定期存款(一年),2.60
2011-02-09,通知存款(七天),1.39
2011-02-09,通知存款(一天),0.85
2011-02-09,协定存款(定期),1.21
2010-12-26,定活两便(定期),--
2010-12-26,定期存款整存整取(半年),2.50
2010-12-26,定期存款整存整取(二年),3.55
2010-12-26,定期存款整存整取(三个月),2.25
2010-12-26,定期存款整存整取(三年),4.15
2010-12-26,定期存款整存整取(五年),4.55
2010-12-26,定期存款整存整取(一年),2.75
2010-12-26,活期存款(不定期),0.36
2010-12-26,零存整取、整存零取、存本取息定期存款(三年),2.50
2010-12-26,零存整取、整存零取、存本取息定期存款(五年),2.75
2010-12-26,零存整取、整存零取、存本取息定期存款(一年),2.25
2010-12-26,通知存款(七天),1.35
2010-12-26,通知存款(一天),0.81
2010-12-26,协定存款(定期),1.17
2010-10-20,定活两便(定期),--
2010-10-20,定期存款整存整取(半年),2.20
2010-10-20,定期存款整存整取(二年),3.25
2010-10-20,定期存款整存整取(三个月),1.91
2010-10-20,定期存款整存整取(三年),3.85
2010-10-20,定期存款整存整取(五年),4.20
2010-10-20,定期存款整存整取(一年),2.50
2010-10-20,活期存款(不定期),0.36
2010-10-20,零存整取、整存零取、存本取息定期存款(三年),2.20
2010-10-20,零存整取、整存零取、存本取息定期存款(五年),2.50
2010-10-20,零存整取、整存零取、存本取息定期存款(一年),1.91
2010-10-20,通知存款(七天),1.35
2010-10-20,通知存款(一天),0.81
2010-10-20,协定存款(定期),1.17
2008-12-23,定活两便(定期),--
2008-12-23,定期存款整存整取(半年),1.98
2008-12-23,定期存款整存整取(二年),2.79
2008-12-23,定期存款整存整取(三个月),1.71
2008-12-23,定期存款整存整取(三年),3.33
2008-12-23,定期存款整存整取(五年),3.60
2008-12-23,定期存款整存整取(一年),2.25
2008-12-23,活期存款(不定期),0.36
2008-12-23,零存整取、整存零取、存本取息定期存款(三年),1.98
2008-12-23,零存整取、整存零取、存本取息定期存款(五年),2.25
2008-12-23,零存整取、整存零取、存本取息定期存款(一年),1.71
2008-12-23,通知存款(七天),1.35
2008-12-23,通知存款(一天),0.81
2008-12-23,协定存款(定期),1.17
2008-11-27,定活两便(定期),--
2008-11-27,定期存款整存整取(半年),2.25
2008-11-27,定期存款整存整取(二年),3.06
2008-11-27,定期存款整存整取(三个月),1.98
2008-11-27,定期存款整存整取(三年),3.60
2008-11-27,定期存款整存整取(五年),3.87
2008-11-27,定期存款整存整取(一年),2.52
2008-11-27,活期存款(不定期),0.36
2008-11-27,零存整取、整存零取、存本取息定期存款(三年),2.25
2008-11-27,零存整取、整存零取、存本取息定期存款(五年),2.52
2008-11-27,零存整取、整存零取、存本取息定期存款(一年),1.98
2008-11-27,通知存款(七天),1.35
2008-11-27,通知存款(一天),0.81
2008-11-27,协定存款(定期),1.17
2008-10-30,定活两便(定期),--
2008-10-30,定期存款整存整取(半年),3.24
2008-10-30,定期存款整存整取(二年),4.14
2008-10-30,定期存款整存整取(三个月),2.88
2008-10-30,定期存款整存整取(三年),4.77
2008-10-30,定期存款整存整取(五年),5.13
2008-10-30,定期存款整存整取(一年),3.60
2008-10-30,活期存款(不定期),0.72
2008-10-30,零存整取、整存零取、存本取息定期存款(三年),--
2008-10-30,零存整取、整存零取、存本取息定期存款(五年),--
2008-10-30,零存整取、整存零取、存本取息定期存款(一年),--
2008-10-30,通知存款(七天),1.71
2008-10-30,通知存款(一天),1.17
2008-10-30,协定存款(定期),1.53
2008-10-09,定活两便(定期),--
2008-10-09,定期存款整存整取(半年),3.51
2008-10-09,定期存款整存整取(二年),4.41
2008-10-09,定期存款整存整取(三个月),3.15
2008-10-09,定期存款整存整取(三年),5.13
2008-10-09,定期存款整存整取(五年),5.58
2008-10-09,定期存款整存整取(一年),3.87
2008-10-09,活期存款(不定期),0.72
2008-10-09,零存整取、整存零取、存本取息定期存款(三年),--
2008-10-09,零存整取、整存零取、存本取息定期存款(五年),--
2008-10-09,零存整取、整存零取、存本取息定期存款(一年),--
2008-10-09,通知存款(七天),1.71
2008-10-09,通知存款(一天),1.17
2008-10-09,协定存款(定期),1.53
2007-12-21,定活两便(定期),--
2007-12-21,定期存款整存整取(半年),3.78
2007-12-21,定期存款整存整取(二年),4.68
2007-12-21,定期存款整存整取(三个月),3.33
2007-12-21,定期存款整存整取(三年),5.40
2007-12-21,定期存款整存整取(五年),5.85
2007-12-21,定期存款整存整取(一年),4.14
2007-12-21,活期存款(不定期),0.72
2007-12-21,零存整取、整存零取、存本取息定期存款(三年),--
2007-12-21,零存整取、整存零取、存本取息定期存款(五年),--
2007-12-21,零存整取、整存零取、存本取息定期存款(一年),--
2007-12-21,通知存款(七天),1.71
2007-12-21,通知存款(一天),1.17
2007-12-21,协定存款(定期),1.53
2007-09-15,定活两便(定期),--
2007-09-15,定期存款整存整取(半年),3.42
2007-09-15,定期存款整存整取(二年),4.50
2007-09-15,定期存款整存整取(三个月),2.88
2007-09-15,定期存款整存整取(三年),5.22
2007-09-15,定期存款整存整取(五年),5.76
2007-09-15,定期存款整存整取(一年),3.87
2007-09-15,活期存款(不定期),0.81
2007-09-15,零存整取、整存零取、存本取息定期存款(三年),--
2007-09-15,零存整取、整存零取、存本取息定期存款(五年),--
2007-09-15,零存整取、整存零取、存本取息定期存款(一年),--
2007-09-15,通知存款(七天),1.71
2007-09-15,通知存款(一天),1.17
2007-09-15,协定存款(定期),1.53
2007-08-22,定活两便(定期),--
2007-08-22,定期存款整存整取(半年),3.15
2007-08-22,定期存款整存整取(二年),4.23
2007-08-22,定期存款整存整取(三个月),2.61
2007-08-22,定期存款整存整取(三年),4.95
2007-08-22,定期存款整存整取(五年),5.49
2007-08-22,定期存款整存整取(一年),3.60
2007-08-22,活期存款(不定期),0.81
2007-08-22,零存整取、整存零取、存本取息定期存款(三年),--
2007-08-22,零存整取、整存零取、存本取息定期存款(五年),--
2007-08-22,零存整取、整存零取、存本取息定期存款(一年),--
2007-08-22,通知存款(七天),1.71
2007-08-22,通知存款(一天),1.17
2007-08-22,协定存款(定期),1.53
2007-07-21,定活两便(定期),--
2007-07-21,定期存款整存整取(半年),2.88
2007-07-21,定期存款整存整取(二年),3.96
2007-07-21,定期存款整存整取(三个月),2.34
2007-07-21,定期存款整存整取(三年),4.68
2007-07-21,定期存款整存整取(五年),5.22
2007-07-21,定期存款整存整取(一年),3.33
