date,code,name,weight
2018-10-30,600000,浦发银行,1.36
2018-10-30,600008,首创股份,0.08
2018-10-30,600009,上海机场,0.49
2018-10-30,600010,包钢股份,0.23
2018-10-30,600011,华能国际,0.28
2018-10-30,600015,华夏银行,0.55
2018-10-30,600016,民生银行,1.92
2018-10-30,600018,上港集团,0.17
2018-10-30,600019,宝钢股份,0.71
2018-10-30,600023,浙能电力,0.2
2018-10-30,600025,华能水电,0.06
2018-10-30,600028,中国石化,0.7
2018-10-30,600029,南方航空,0.22
2018-10-30,600030,中信证券,1.44
2018-10-30,600031,三一重工,0.38
2018-10-30,600036,招商银行,3.09
2018-10-30,600038,中直股份,0.11
2018-10-30,600048,保利地产,0.93
2018-10-30,600050,中国联通,0.53
2018-10-30,600061,国投资本,0.08
2018-10-30,600066,宇通客车,0.15
2018-10-30,600068,葛洲坝,0.18
2018-10-30,600085,同仁堂,0.16
2018-10-30,600089,特变电工,0.27
2018-10-30,600100,同方股份,0.16
2018-10-30,600104,上汽集团,1.02
2018-10-30,600109,国金证券,0.16
2018-10-30,600111,北方稀土,0.22
2018-10-30,600115,东方航空,0.2
2018-10-30,600118,中国卫星,0.1
2018-10-30,600153,建发股份,0.11
2018-10-30,600157,永泰能源,0.11
2018-10-30,600170,上海建工,0.14
2018-10-30,600176,中国巨石,0.21
2018-10-30,600177,雅戈尔,0.19
2018-10-30,600188,兖州煤业,0.09
2018-10-30,600196,复星医药,0.26
2018-10-30,600208,新湖中宝,0.14
2018-10-30,600219,南山铝业,0.16
2018-10-30,600221,海航控股,0.24
2018-10-30,600233,圆通速递,0.04
2018-10-30,600271,航天信息,0.27
2018-10-30,600276,恒瑞医药,1.36
2018-10-30,600297,广汇汽车,0.11
2018-10-30,600309,万华化学,0.48
2018-10-30,600332,白云山,0.21
2018-10-30,600339,中油工程,0.08
2018-10-30,600340,华夏幸福,0.29
2018-10-30,600346,恒力股份,0.11
2018-10-30,600352,浙江龙盛,0.24
2018-10-30,600362,江西铜业,0.15
2018-10-30,600369,西南证券,0.13
2018-10-30,600372,中航电子,0.07
2018-10-30,600373,中文传媒,0.06
2018-10-30,600376,首开股份,0.09
2018-10-30,600383,金地集团,0.22
2018-10-30,600390,五矿资本,0.04
2018-10-30,600398,海澜之家,0.15
2018-10-30,600406,国电南瑞,0.34
2018-10-30,600415,小商品城,0.1
2018-10-30,600436,片仔癀,0.24
2018-10-30,600438,通威股份,0.13
2018-10-30,600482,中国动力,0.19
2018-10-30,600487,亨通光电,0.22
2018-10-30,600489,中金黄金,0.14
2018-10-30,600498,烽火通信,0.16
2018-10-30,600516,方大炭素,0.22
2018-10-30,600518,康美药业,0.38
2018-10-30,600519,贵州茅台,2.78
2018-10-30,600522,中天科技,0.19
2018-10-30,600535,天士力,0.19
2018-10-30,600547,山东黄金,0.21
2018-10-30,600549,厦门钨业,0.12
2018-10-30,600570,恒生电子,0.24
2018-10-30,600583,海油工程,0.13
2018-10-30,600585,海螺水泥,0.65
2018-10-30,600588,用友网络,0.24
2018-10-30,600606,绿地控股,0.24
2018-10-30,600637,东方明珠,0.16
2018-10-30,600660,福耀玻璃,0.31
2018-10-30,600663,陆家嘴,0.1
2018-10-30,600674,川投能源,0.18
2018-10-30,600682,南京新百,0.05
2018-10-30,600688,上海石化,0.08
2018-10-30,600690,青岛海尔,0.47
2018-10-30,600703,三安光电,0.36
2018-10-30,600704,物产中大,0.08
