BoxOffice,Irank,MovieName,boxPer,movieDay,sumBoxOffice,time
929.81,1,飓风奇劫,31.68,6,7830.47,2018-11-07 22:13:01
453.54,2,胡桃夹子和四个王国,15.45,6,9987.67,2018-11-07 22:13:01
418.19,3,流浪猫鲍勃,14.25,6,4338.33,2018-11-07 22:13:01
334.19,4,无双,11.39,39,126477.65,2018-11-07 22:13:01
217.66,5,铁血战士,7.42,13,21340.24,2018-11-07 22:13:01
151.54,6,冰封侠:时空行者,5.16,6,3258.58,2018-11-07 22:13:01
119.67,7,嗝嗝老师,4.08,27,14475.55,2018-11-07 22:13:01
70.69,8,找到你,2.41,34,28298.67,2018-11-07 22:13:01
63.19,9,昨日青空,2.15,13,8212.54,2018-11-07 22:13:01
53.88,10,滴答屋,1.84,7,1850.91,2018-11-07 22:13:01
122.71,11,其它,1.00,0,0.00,2018-11-07 22:13:01
