code,name,count,bamount,samount,net,bcount,scount
300746,汉嘉设计,1,1328.33,4572.36,-3244.03,5,5
002739,万达电影,2,8850.15,12818.8,-3968.65,6,3
002647,仁东控股,1,7324.23,11405.98,-4081.75,5,5
600122,宏图高科,4,6973.58,11232.71,-4259.13,19,16
300749,顶固集创,5,15039.82,19359.76,-4319.94,21,23
600107,美尔雅,1,2518.91,6993.73,-4474.82,5,5
600462,九有股份,3,12710.97,17292.81,-4581.84,15,15
002656,摩登大道,1,8546.58,13434.29,-4887.71,5,5
000711,京蓝科技,1,10310.46,15794.59,-5484.14,5,5
603031,安德利,1,1659.83,8815.2,-7155.37,10,9
002607,亚夏汽车,2,11550.62,20253.92,-8703.3,10,8
601990,南京证券,2,15327.26,24201.8,-8874.54,9,10
002617,露笑科技,4,31382.44,73032.71,-41650.27,17,12
600226,瀚叶股份,5,18432.83,105040.33,-86607.5,19,12
002668,奥马电器,5,62650.24,153758.25,-91108.0,26,12
