broker,count,bamount,bcount,samount,scount,top3
国融证券股份有限公司杭州江晖路证券营业部,12,4102.69,8,2348.33,4,"浔兴股份,新日恒力,隆盛科技,"
华安证券股份有限公司蚌埠涂山路证券营业部,1,896.32,1,0.0,0,台海核电
光大证券股份有限公司上海芳甸路证券营业部,1,379.53,1,0.0,0,浔兴股份
中信建投证券股份有限公司杭州市民街证券营业部,1,0.0,0,680.79,1,永太科技
华林证券股份有限公司深圳龟山路证券营业部,2,0.0,0,2010.24,2,露笑科技
德邦证券股份有限公司杭州新业路证券营业部,1,0.0,0,604.8,1,永太科技
中泰证券股份有限公司深圳分公司,7,9820.28,6,1532.72,1,"德新交运,乐视网,南京证券,"
华宝证券有限责任公司福州八一七北路证券营业部,2,0.0,0,964.55,2,露笑科技
中银国际证券股份有限公司深圳中心四路证券营业部,2,26.52,1,917.43,1,"首航节能,台海核电"
方正证券股份有限公司台州解放路证券营业部,7,436.67,2,4109.02,5,"长城证券,正裕工业,新光圆成,"
财通证券股份有限公司绍兴柯桥区钱清钱门大道证券营业部,5,654.04,1,8329.87,4,"新朋股份,露笑科技"
招商证券股份有限公司深圳后海证券营业部,10,479.43,2,5394.91,8,"上海物贸,浔兴股份,乐视网,"
五矿证券有限公司杭州市中山北路证券营业部,1,0.0,0,235.2,1,永太科技
光大证券股份有限公司宁海气象北路证券营业部,1,0.0,0,237.67,1,浔兴股份
华宝证券有限责任公司成都天府大道证券营业部,2,0.0,0,442.32,2,"维宏股份,露笑科技"
中信证券股份有限公司宁波甬江大道证券营业部,2,0.0,0,853.36,2,"顺利办,台海核电"
兴业证券股份有限公司杭州清泰街证券营业部,1,0.0,0,235.2,1,永太科技
方正证券股份有限公司天津新华路证券营业部,1,0.0,0,194.38,1,浔兴股份
国开证券股份有限公司上海龙华西路证券营业部,1,0.0,0,267.2,1,台海核电
东北证券股份有限公司上海迎春路证券营业部,2,16.28,1,241.47,1,"台海核电,东方金钰"
中泰证券股份有限公司青岛香港中路证券营业部,1,2112.04,1,0.0,0,奥马电器
银泰证券有限责任公司沈阳十一纬路证券营业部,1,19.67,1,0.0,0,奥马电器
安信证券股份有限公司中山兴政路证券营业部,3,1782.96,3,0.0,0,奥马电器
新时代证券股份有限公司北京中关村东路证券营业部,1,6.21,1,0.0,0,奥马电器
方正证券股份有限公司冷水江锑都中路证券营业部,1,5.92,1,0.0,0,奥马电器
太平洋证券股份有限公司福州分公司,1,0.0,0,2112.04,1,奥马电器
兴业证券股份有限公司深圳侨香路证券营业部,6,572.1,1,1784.12,5,"新疆浩源,华金资本,复旦复华,"
国泰君安证券股份有限公司赣州章江南大道证券营业部,1,282.33,1,0.0,0,仁智股份
平安证券股份有限公司上海分公司,4,436.4,2,1010.41,2,"兴瑞科技,大通燃气,奥马电器,"
太平洋证券股份有限公司宣威建设东街证券营业部,1,8.59,1,0.0,0,奥马电器
东兴证券股份有限公司邵武五一九路证券营业部,3,903.48,3,0.0,0,"天华超净,仁智股份,万方发展"
招商证券股份有限公司深圳招商证券大厦证券营业部,4,4314.21,2,7663.15,2,"索菱股份,亚夏汽车,隆基股份,"
东方证券股份有限公司长沙劳动西路证券营业部,1,221.17,1,0.0,0,仁智股份
华泰证券股份有限公司上海杨浦区国宾路证券营业部,2,617.94,1,706.66,1,乔治白
国信证券股份有限公司深圳红岭中路证券营业部,1,1341.32,1,0.0,0,索菱股份
长江证券股份有限公司荆州北京西路证券营业部,2,515.89,1,713.47,1,乔治白
华安证券股份有限公司六安分公司,2,196.88,1,278.46,1,"瀚叶股份,仁智股份"
中信建投证券股份有限公司北京西翠路证券营业部,1,683.93,1,0.0,0,索菱股份
安信证券股份有限公司昆明东风西路证券营业部,1,0.0,0,106.63,1,奥马电器
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,139,50226.03,75,36369.91,64,"长城证券,亚夏汽车,蠡湖股份,"
申万宏源西部证券有限公司深圳深南大道证券营业部,2,77.35,1,270.27,1,"露笑科技,仁智股份"
西藏东方财富证券股份有限公司北京分公司,1,458.49,1,0.0,0,索菱股份
网信证券有限责任公司沈阳兴华南街证券营业部,3,790.29,2,387.04,1,"乔治白,蠡湖股份"
招商证券股份有限公司上海世纪大道证券营业部,1,0.0,0,188.56,1,仁智股份
中国国际金融股份有限公司北京建国门外大街证券营业部,3,398.42,1,4463.01,2,"索菱股份,昂利康,瀚叶股份"
广发证券股份有限公司辽阳民主路证券营业部,3,615.99,2,294.88,1,"乔治白,珠海中富"
安信证券股份有限公司梅州五华证券营业部,1,0.0,0,171.34,1,仁智股份
国信证券股份有限公司辽宁分公司,1,0.0,0,159.65,1,仁智股份
江海证券有限公司鹤岗东解放路证券营业部,1,0.0,0,369.06,1,索菱股份
光大证券股份有限公司厦门展鸿路金融中心大厦证券营业部,1,460.57,1,0.0,0,星帅尔
华泰证券股份有限公司南京江宁金箔路证券营业部,8,3269.89,4,2896.45,4,"乔治白,群兴玩具,蠡湖股份,"
中信建投证券股份有限公司南昌榕门路证券营业部,4,1202.48,1,1502.03,3,"金鸿控股,索菱股份,兴瑞科技,"
华泰证券股份有限公司扬州宝应叶挺东路证券营业部,3,550.46,3,0.0,0,"星帅尔,聚龙股份,安德利"
申万宏源证券有限公司上海闵行区莘松路证券营业部,1,0.0,0,315.7,1,索菱股份
华福证券有限责任公司富阳江滨西大道证券营业部,2,280.09,1,282.11,1,星帅尔
华泰证券股份有限公司南通如东人民路证券营业部,1,0.0,0,516.5,1,乔治白
中国中投证券有限责任公司深圳深南大道证券营业部,3,0.0,0,3113.13,3,"智慧松德,索菱股份"
国融证券股份有限公司福州东街证券营业部,1,226.93,1,0.0,0,星帅尔
海通证券股份有限公司深圳分公司华富路证券营业部,4,0.0,0,2133.78,4,"蠡湖股份,乔治白,维宏股份,"
联储证券有限责任公司广州黄埔大道西证券营业部,1,192.49,1,0.0,0,星帅尔
海通证券股份有限公司新余劳动南路证券营业部,1,0.0,0,225.65,1,星帅尔
财富证券有限责任公司温州车站大道证券营业部,2,340.18,1,189.84,1,"中迪投资,星帅尔"
平安证券股份有限公司浙江分公司,4,414.15,1,1596.46,3,"美格智能,星帅尔,顺利办"
新时代证券股份有限公司包头钢铁大街证券营业部,2,0.0,0,131.27,2,"东材科技,星帅尔"
西藏东方财富证券股份有限公司杭州和汇路证券营业部,7,9096.55,5,3728.38,2,"润都股份,惠威科技,实丰文化"
方正证券股份有限公司绍兴胜利东路证券营业部,7,3960.56,4,2988.09,3,"润都股份,实丰文化,惠威科技"
招商证券股份有限公司上海娄山关路证券营业部,9,3811.99,4,4416.46,5,"润都股份,实丰文化,美格智能,"
安信证券股份有限公司福州儒江东路证券营业部,6,3303.03,3,2738.89,3,"润都股份,美格智能,实丰文化"
国盛证券有限责任公司温州百里东路证券营业部,8,3441.13,5,2207.8,3,"润都股份,惠威科技,实丰文化"
长江证券股份有限公司浙江分公司,6,2983.7,2,5793.37,4,"美格智能,实丰文化,润都股份"
中信建投证券股份有限公司苏州工业园区星海街证券营业部,6,1548.97,4,1187.59,2,"锋龙股份,恒立实业,和晶科技,"
华鑫证券有限责任公司乐清双雁路证券营业部,8,998.2,2,3409.68,6,"润都股份,惠威科技,首航节能"
华泰证券股份有限公司上海黄浦区来福士广场证券营业部,5,1840.13,3,43.93,2,"瀚叶股份,锋龙股份,东方金钰"
东吴证券股份有限公司上海西藏南路证券营业部,8,1075.85,4,59332.74,4,"新兴装备,科创信息,锋龙股份,"
华泰证券股份有限公司南通环城西路证券营业部,2,291.17,1,185.75,1,"新兴装备,长江投资"
国金证券股份有限公司沈阳青年大街证券营业部,8,1597.86,5,3587.47,3,"天奥电子,永新光学,新兴装备,"
东方证券股份有限公司上海静安区延平路证券营业部,5,3814.74,3,2771.59,2,"兴瑞科技,融捷股份,汇得科技"
申万宏源证券有限公司镇江解放路证券营业部,3,431.45,2,173.02,1,"神思电子,锋龙股份"
中信证券股份有限公司上海溧阳路证券营业部,8,4062.08,4,3510.2,4,"宏达矿业,实丰文化,雅运股份,"
长江证券股份有限公司泰州迎春西路证券营业部,2,0.0,0,541.73,2,"锋龙股份,复旦复华"
申万宏源西部证券有限公司深圳上步中路证券营业部,6,4895.36,4,1561.71,2,"天风证券,顶固集创,中铝国际,"
东兴证券股份有限公司福州五一北路证券营业部,4,1459.47,3,714.7,1,"汇得科技,天奥电子,大通燃气,"
海通证券股份有限公司常熟海虞北路证券营业部,1,0.0,0,299.73,1,锋龙股份
华泰证券股份有限公司青岛宁夏路证券营业部,3,1395.25,2,688.63,1,"昂利康,山东路桥"
申万宏源证券有限公司上海闵行区碧江路证券营业部,2,306.79,1,572.53,1,"安德利,新兴装备"
西藏东方财富证券股份有限公司拉萨团结路第一证券营业部,10,2216.22,5,1725.13,5,"万兴科技,中迪投资,昂利康,"
国泰君安证券股份有限公司上海福山路证券营业部,9,6860.93,4,4651.71,5,"寒锐钴业,斯太尔,汇金科技,"
中信证券(山东)有限责任公司淄博柳泉路证券营业部,3,1002.53,2,413.18,1,"德新交运,昂利康,汉嘉设计"
中国中投证券有限责任公司杭州环球中心证券营业部,14,7846.07,8,5622.09,6,"紫江企业,捷佳伟创,隆盛科技,"
中信证券股份有限公司桐庐迎春南路证券营业部,1,0.0,0,745.15,1,兴瑞科技
上海证券有限责任公司海口金龙路证券营业部,2,691.72,1,665.38,1,兴瑞科技
华泰证券股份有限公司无锡金融一街证券营业部,4,2742.53,3,648.25,1,"浔兴股份,新疆浩源,昂利康"
华泰证券股份有限公司台州中心大道证券营业部,16,15018.45,7,13198.9,9,"金鸿控股,德新交运,蠡湖股份,"
平安证券股份有限公司江苏分公司,5,3353.02,5,0.0,0,"新宁物流,中关村,天晟新材,"
华泰证券股份有限公司永嘉阳光大道证券营业部,4,310.73,1,587.06,3,"新宁物流,东方金钰,美格智能"
招商证券股份有限公司成都人民南路证券营业部,1,166.91,1,0.0,0,新宁物流
广发证券股份有限公司昆山前进东路证券营业部,1,156.26,1,0.0,0,新宁物流
东吴证券股份有限公司南京中山南路证券营业部,1,0.0,0,1912.24,1,新宁物流
五矿证券有限公司珠海健民路证券营业部,1,0.0,0,885.54,1,新宁物流
平安证券股份有限公司深圳深南大道证券营业部,2,0.0,0,1182.89,2,"乐视网,新宁物流"
广发证券股份有限公司中山兴中道证券营业部,1,0.0,0,322.45,1,新宁物流
华鑫证券有限责任公司苏州总官堂路证券营业部,2,746.72,1,704.93,1,山鼎设计
华泰证券股份有限公司天津东丽开发区二纬路证券营业部,3,1360.62,3,0.0,0,"山鼎设计,民丰特纸,贤丰控股"
天风证券股份有限公司上海浦明路证券营业部,1,463.32,1,0.0,0,山鼎设计
中信证券股份有限公司杭州新天地证券营业部,2,342.44,1,441.59,1,"山鼎设计,科创信息"
华创证券有限责任公司贵阳中华北路证券营业部,1,321.91,1,0.0,0,山鼎设计
中国银河证券股份有限公司南京洪武路证券营业部,4,1229.6,2,593.09,2,"合金投资,山鼎设计,麦达数字"
财达证券股份有限公司邯郸滏河大街证券营业部,1,0.0,0,238.88,1,山鼎设计
西藏东方财富证券股份有限公司上海东方路证券营业部,2,0.0,0,656.35,2,"山鼎设计,九有股份"
华林证券股份有限公司上海浦东新区浦东南路证券营业部,2,1695.41,1,463.7,1,"聚龙股份,阳光股份"
