AvgPrice,AvpPeoPle,BoxOffice,BoxOffice_Up,IRank,MovieDay,MovieName,SumBoxOffice,WomIndex
31,5,918,-7,1,6,飓风奇劫,7819,
35,2,451,-21,2,6,胡桃夹子和四个王国,9985,
32,4,414,-16,3,6,流浪猫鲍勃,4335,
32,4,331,-11,4,39,无双,126474,
36,2,215,-13,5,13,铁血战士,21338,
32,2,149,-15,6,6,冰封侠:时空行者,3257,
31,3,119,-13,7,27,嗝嗝老师,14475,
30,3,70,-26,8,34,找到你,28298,
32,1,63,-7,9,13,昨日青空,8212,
33,1,53,-13,10,7,滴答屋,1850,
