code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
000880,潍柴重机,0.22,110.93,,4.47,,6080.25,111.14,,10-31
603477,振静股份,0.2,-23.08,,5.9,,4800.15,3.76,,10-31
600319,亚星化学,0.03,20.0,,27.72,,1049.62,32.98,,10-31
000426,兴业矿业,0.3,41.45,,9.95,,56715.18,41.38,,10-31
000938,紫光股份,0.8,-26.3,,4.53,,116222.16,3.21,,10-31
000965,天保基建,0.34,112.5,,7.15,,37947.73,129.56,,10-31
600359,新农开发,-0.12,-340.0,,-7.06,,-4394.41,-324.44,,10-31
000533,万家乐,-0.03,-191.35,,-1.39,,-2190.93,-191.36,,10-31
600743,华远地产,0.12,-38.61,,3.95,,29177.45,-38.38,,10-31
000982,*ST中绒,-0.29,36.29,,-31.85,,-52393.4,36.09,,10-31
600020,中原高速,0.29,-21.46,,6.36,,97901.26,-9.93,,10-31
000571,新大洲A,-0.02,-125.53,,-0.77,,-1676.04,-125.5,,10-31
600039,四川路桥,0.15,8.45,,4.14,,55167.04,26.86,,10-31
600448,华纺股份,0.05,150.0,,3.29,,2832.24,102.09,,10-31
600081,东风科技,0.38,-4.0,,9.19,,12053.2,-3.99,,10-31
603768,常青股份,0.34,-27.66,,4.17,,7010.66,-21.04,,10-31
600831,广电网络,0.2,-3.92,,3.91,,11860.97,-3.86,,10-31
603806,福斯特,0.66,-28.26,,6.82,,34688.94,-6.23,,10-31
600493,凤竹纺织,0.17,184.01,,6.6,,4736.3,184.18,,10-31
000707,*ST双环,0.25,269.06,,26.42,,11461.49,269.21,,10-31
600885,宏发股份,0.79,-28.18,,13.44,,58841.75,0.87,,10-31
600568,中珠医疗,0.01,-94.11,,0.43,,2585.56,-89.71,,10-31
603197,保隆科技,0.75,-48.02,,8.91,,12284.75,-15.02,,10-31
600190,锦州港,0.06,34.38,,1.9,,11484.73,34.39,,10-31
600984,建设机械,0.14,0.5,,3.56,,11648.81,30.63,,10-31
000800,一汽轿车,0.08,-53.61,,1.68,,13512.03,-53.6,,10-31
002176,江特电机,0.2,42.86,,7.19,,29760.11,41.27,,10-31
600619,海立股份,0.23,0.0,,4.75,,20071.18,1.48,,10-31
600639,浦东金桥,0.51,3.94,,6.44,,56803.12,3.94,,10-31
600663,陆家嘴,0.64,46.86,,14.61,,214922.34,46.86,,10-31
000158,常山北明,0.02,-39.39,,0.66,,3972.04,-39.28,,10-31
002886,沃特股份,0.2,-42.86,,3.68,,2331.03,-14.27,,10-31
601288,农业银行,0.51,4.08,4.43,11.96,,17161100.0,7.25,,10-31
000413,东旭光电,0.23,9.52,,4.19,,131515.76,28.17,,10-31
601390,中国中铁,0.56,24.34,,8.56,,1304481.7,18.2,,10-31
600345,长江通信,1.09,9.0,,12.55,,21555.95,9.34,,10-31
000520,长航凤凰,0.06,74.85,,17.28,,5986.04,74.83,,10-31
600732,ST新梅,-0.02,-111.57,,-1.72,,-766.95,-111.56,,10-31
601688,华泰证券,0.61,-7.58,,4.88,,447980.34,-4.84,,10-31
002615,哈尔斯,0.2,-23.08,,10.03,,8194.35,-22.8,,10-31
000539,粤电力A,0.18,20.13,,3.92,,93882.16,20.04,,10-31
600748,上实发展,0.16,-15.79,,2.86,,28645.94,-19.02,,10-31
000989,九芝堂,0.38,-35.08,,7.33,,33447.49,-35.08,,10-31
600007,中国国贸,0.59,25.53,,8.96,,58982.46,23.63,,10-31
002310,东方园林,0.36,12.5,,8.31,,97508.18,12.53,,10-31
600766,园城黄金,0.0,-70.0,,1.15,,64.07,-76.12,,10-31
600026,中远海能,-0.07,-121.49,,-0.96,,-26831.47,-121.51,,10-31
002326,永太科技,0.49,41.44,,14.52,,39806.8,42.12,,10-31
600783,鲁信创投,0.29,-12.12,,5.99,,21689.48,-11.84,,10-31
601966,玲珑轮胎,0.74,23.33,,9.5,,88395.99,22.79,,10-31
600425,青松建化,0.33,16300.0,,10.58,,45210.96,18509.88,,10-31
000601,韶能股份,0.25,-38.17,,5.96,,26870.86,-38.18,,10-31
