code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,-0.23,2660.7193,2665.4306,2659.3564,2660.8627,2635.3207,163669479,1388.0094
000002,Ａ股指数,-0.23,2786.3941,2791.3475,2784.9718,2786.5605,2759.786,163250476,1385.9682
000003,Ｂ股指数,-0.05,278.1497,277.9918,277.8417,278.1497,275.5052,419002,2.0411
000008,综合指数,-0.29,2606.9896,2610.1948,2602.6278,2609.572,2579.1023,37432277,318.2061
000009,上证380,0.01,4054.5084,4060.628,4060.9178,4061.528,4017.024,38704219,304.6099
000010,上证180,-0.46,7338.7993,7350.7021,7317.0013,7341.907,7254.8271,52484128,545.6992
000011,基金指数,-0.12,5678.2229,5683.2318,5676.5071,5679.978,5654.9753,38887404,268.7107
000012,国债指数,0.04,167.7042,167.6882,167.7496,167.7505,167.6941,399679,3.9915
000016,上证50,-0.47,2507.3589,2511.5897,2499.6793,2509.6404,2478.3756,22102400,278.3007
000017,新综指,-0.23,2246.6174,2250.615,2245.4688,2246.7497,2225.1602,163209765,1385.2536
000300,沪深300,-0.6,3254.9778,3262.8351,3243.1504,3254.9778,3213.895,83869138,917.039
000905,中证500,-0.06,4427.3572,4440.8274,4438.0965,4440.1054,4385.3273,69803049,512.1926
399001,深证成指,-0.61,7807.085,7839.081,7791.245,7807.085,7701.512,21042286346,1751.6388
399002,深成指R,-0.61,9436.943000000001,9475.618,9417.796,9436.943000000001,9309.329,8863249612,829.8056
399003,成份Ｂ指,-0.65,4810.74,4805.456,4774.424,4816.555,4740.786,4800636,0.2957
399004,深证100R,-1.08,4130.634,4152.878,4108.073,4130.634,4064.522,2936005221,367.8521
399005,中小板指,-1.49,5252.026,5289.088000000001,5210.32,5252.026,5156.713,1904582511,225.8168
399006,创业板指,0.02,1346.526,1348.876,1349.109,1350.8229999999999,1327.3970000000002,1450152948,187.0823
399008,中小300,-1.02,1012.975,1019.546,1009.132,1012.975,997.5010000000001,4799892723,405.9525
399100,新 指 数,-0.43,6101.383000000001,6124.141,6098.08,6101.383000000001,6025.814,20424458440,1722.5797
399101,中小板综,-0.71,7878.049,7918.147,7862.141,7878.049,7771.36,9236531913,743.8471
399106,深证综指,-0.36,1346.04,1351.004,1346.19,1346.316,1328.74,21042286346,1751.6388
399107,深证Ａ指,-0.36,1407.355,1412.566,1407.5410000000002,1407.6770000000001,1389.2579999999998,21023668994,1751.0557
399108,深证Ｂ指,-0.52,895.8539999999999,895.12,890.4830000000001,896.373,884.04,18617352,0.5831
399333,中小板R,-1.49,5839.528,5880.736,5793.156,5839.528,5733.553000000001,1904582511,225.8168
399606,创业板R,0.02,1410.549,1413.01,1413.254,1415.05,1390.51,1450152948,187.0823
