code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
600161,天坛生物,247.9238,1.089,0.8061,334.94599999999997,0.6542,412.7178
002297,博云新材,1.8033,149.7255,0.8059,335.0292,0.3637,742.3701
002204,大连重工,0.6679999999999999,404.1916,0.8043,335.6956,0.2696,1001.4837
300281,金明精机,2.5418,106.2239,0.8021,336.6164,0.327,825.6881
002345,潮宏基,12.4774,21.6391,0.802,336.6584,0.7586,355.9188
000421,南京公用,8.6536,31.2009,0.7991,337.8801,0.45,600.0
002510,天汽模,1.9419,139.0391,0.7984,338.1764,0.4555,592.7552
300425,环能科技,1.2202,221.2752,0.797,338.7704,0.4264,633.2083
300055,万邦达,0.8995,300.1668,0.7965,338.9831,0.3031,890.7951
300485,赛升药业,,,0.7957,339.3239,0.5475,493.1507
300223,北京君正,12.9273,20.886,0.7909999999999999,341.3401,0.1857,1453.9579999999999
600343,航天动力,1.0267,262.9785,0.7865,343.2931,0.2798,964.975
002065,东华软件,0.9894,272.8927,0.7858,343.5989,0.4079,661.9269
603577,汇金通,1.6952,159.2732,0.7848,344.0367,0.4728,571.066
600893,航发动力,,,0.7834,344.6515,0.4531,595.8949
300719,安达维尔,0.6352,425.06300000000005,0.7808,345.7992,0.23800000000000002,1134.4538
002750,龙津药业,6.3158,42.7499,0.7795,346.3759,0.5351,504.5786
002298,中电兴发,1.7421,154.9854,0.7792,346.5092,0.4435,608.7937
300720,海川智能,10.7361,25.1488,0.7776,347.2222,0.3373,800.4744
600467,好当家,16.2517,16.6136,0.7776,347.2222,0.5038,535.927
600854,春兰股份,19.9924,13.5051,0.7776,347.2222,0.4821,560.0498
000403,ST生化,5.5865,48.3308,0.7773,347.3562,0.9078,297.4223
300523,辰安科技,1.3927,193.868,0.7768,347.5798,0.4154,649.9759
600771,广誉远,1.1337,238.1582,0.7767,347.6246,0.5429,497.3292
000043,中航善达,5.9827,45.1301,0.7765,347.7141,0.3887,694.6231
600284,浦东建设,3.4678,77.8592,0.7759999999999999,347.9381,0.2185,1235.6979
300471,厚普股份,0.4515,598.0066,0.7757,348.0727,0.1783,1514.3017
002356,赫美集团,2.5403,106.2867,0.7724,349.5598,0.4402,613.3576
603958,哈森股份,8.7121,30.9914,0.7723,349.6051,0.8426,320.4367
300276,三丰智能,2.1094,127.9985,0.7718,349.8316,0.5852,461.3807
603518,维格娜丝,4.2521,63.498000000000005,0.7678,351.6541,0.9334,289.2651
002693,双成药业,4.8052,56.1891,0.7663,352.3424,0.5332,506.3766
300137,先河环保,1.9457,138.7675,0.7625,354.0984,0.5246,514.6778
600051,宁波联合,16.1948,16.672,0.7556,357.3319,0.639,422.5352
002665,首航节能,0.5,540.0,0.7528,358.661,0.0823,3280.6804
002780,三夫户外,12.3771,21.8145,0.7490000000000001,360.4806,0.4311,626.3048
000982,*ST中绒,1.1856,227.7328,0.7479,361.0108,0.3208,841.6459
300682,朗新科技,0.322,838.5093,0.7475,361.204,0.1299,2078.5219
000860,顺鑫农业,93.8726,2.8762,0.7473,361.3007,0.6798,397.1756
300404,博济医药,1.8428,146.5162,0.7390000000000001,365.3586,0.3737,722.5047
600598,北大荒,74.6136,3.6186,0.738,365.8537,0.7102,380.1746
300199,翰宇药业,0.8278,326.1657,0.7376,366.0521,0.3275,824.4275
000673,当代东方,0.946,285.4123,0.7356,367.0473,0.2233,1209.1357
300506,名家汇,2.1337,126.5408,0.7341,367.7973,0.5855,461.1443
600666,奥瑞德,0.6494,415.7684,0.7305,369.6099,0.3255,829.4931
300601,康泰生物,2.0125,134.1615,0.7305,369.6099,1.1086,243.5504
002935,天奥电子,1.7404,155.1368,0.7299,369.9137,0.3743,721.3465
000568,泸州老窖,769.1046,0.3511,0.7287,370.5228,0.6579,410.3967
300306,远方信息,2.4465,110.3617,0.7255,372.1571,0.3644,740.944
300726,宏达电子,1.0507,256.9715,0.7252,372.3111,0.3493,772.9745
300358,楚天科技,1.5678,172.2158,0.7249,372.4652,0.4311,626.3048
300168,万达信息,1.0039,268.9511,0.7245,372.6708,0.344,784.8837
300228,富瑞特装,1.2471,216.5023,0.7244,372.7223,0.3412,791.3247
603316,诚邦股份,1.7992,150.0667,0.7205,374.7398,0.424,636.7925
300188,美亚柏科,1.8557,145.4977,0.7172,376.464,0.4319,625.1447
300401,花园生物,5.6467,47.8155,0.7169,376.6216,0.5195,519.7305
603383,顶点软件,4.9368,54.6913,0.7129,378.7347,0.1613,1673.8996
600018,上港集团,9.3232,28.96,0.7128,378.7879,0.4945,546.0061
300101,振芯科技,0.9079999999999999,297.3568,0.7102,380.1746,0.2964,910.9312
300181,佐力药业,2.129,126.8201,0.7095,380.5497,0.6075,444.4444
603308,应流股份,,,0.7088,380.9255,0.4465,604.7032
002762,金发拉比,5.7745,46.7573,0.7075,381.6254,0.4127,654.2283
000858,五粮液,217.3103,1.2425,0.7056,382.6531,0.4453,606.3328
002322,理工环科,1.3881,194.5105,0.7011,385.1091,0.4119,655.4989
300495,美尚生态,0.8356,323.1211,0.7004,385.494,0.3022,893.448
603036,如通股份,0.8772,307.7975,0.7002,385.6041,0.166,1626.506
300171,东富龙,2.6762,100.8893,0.7001,385.6592,0.3755,719.0413
000596,古井贡酒,295.2598,0.9144,0.6993,386.1004,0.9152,295.0175
300197,铁汉生态,6.8942,39.1634,0.6991,386.2108,0.5443,496.05
600076,康欣新材,4.6488,58.0795,0.6961,387.8753,0.7073,381.7334
300450,先导智能,3.2908,82.0469,0.6940000000000001,389.04900000000004,0.4983,541.8423
300430,诚益通,1.3461,200.5795,0.6922,390.0607,0.3966,680.7867
300642,透景生命,3.5907,75.1943,0.6897,391.4746,0.3077,877.4781
600199,金种子酒,7.7302,34.9279,0.6892,391.7586,0.4332,623.2687
002630,华西能源,0.902,299.3348,0.6891,391.8154,0.3551,760.3492
300140,中环装备,0.6344,425.599,0.6854,393.9306,0.2723,991.5534
603508,思维列控,1.4381,187.7477,0.6846,394.3909,0.2219,1216.7643
002445,ST中南,0.8312,324.8316,0.6783,398.05400000000003,0.2625,1028.5714
600559,老白干酒,412.7846,0.6541,0.6777,398.4064,0.9168,294.5026
600764,中国海防,0.5898,457.7823,0.677,398.8183,0.1485,1818.1818
000652,泰达股份,2.9339999999999997,92.0245,0.6762,399.2902,0.4198,643.1634
600512,腾达建设,2.281,118.3691,0.6741,400.534,0.3018,894.6322
600963,岳阳林纸,6.4775,41.6827,0.6725,401.48699999999997,0.5331,506.4716
600463,空港股份,10.2438,26.3574,0.6711,402.3245,0.4717,572.3977
300189,神农基因,0.5344,505.2395,0.6695,403.286,0.1366,1976.5739
603269,海鸥股份,0.9846,274.223,0.6692,403.4668,0.3221,838.2489999999999
002266,浙富控股,2.6549,101.6987,0.6691,403.5271,0.2939,918.6798
603023,威帝股份,1.3702,197.0515,0.6686,403.8289,0.1959,1378.2542
603229,奥翔药业,2.69,100.3717,0.6665,405.1013,0.29600000000000004,912.1622
603839,安正时尚,9.8511,27.4081,0.6613,408.2867,0.525,514.2857
002023,海特高新,0.6082,443.9329,0.6612,408.3485,0.1781,1516.0022
300139,晓程科技,1.3802,195.6238,0.6603,408.905,0.2818,958.1263
603963,大理药业,9.9928,27.0195,0.6598,409.2149,0.7058,382.5446
300020,银江股份,1.3447,200.7883,0.6598,409.2149,0.3494,772.7533
603919,金徽酒,81.5603,3.3104,0.6593,409.5253,0.9757,276.7244
300173,智慧松德,,,0.6591,409.6495,0.1739,1552.6164
600435,北方导航,0.6693,403.4065,0.6577,410.5215,0.2322,1162.7907
300161,华中数控,0.8729,309.3138,0.6575,410.6464,0.2883,936.5245
603359,东珠生态,1.4745,183.1129,0.6569,411.0215,0.3436,785.7974
603396,金辰股份,2.1765,124.0524,0.6567,411.1466,0.3993,676.1833
603105,芯能科技,1.9608,137.6989,0.6516,414.3646,0.3124,864.2766
002667,鞍重股份,1.0382,260.0655,0.6507,414.9378,0.2111,1279.0147
601608,中信重工,1.4617,184.7164,0.6488,416.1529,0.3123,864.5533
300099,精准信息,0.5756,469.0757,0.648,416.6667,0.1785,1512.605
002663,普邦股份,1.6039,168.3397,0.6463,417.7626,0.3625,744.8276
002007,华兰生物,2.5411,106.2532,0.6399,421.9409,0.5214,517.8366
