code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
603366,日出东方,10.14,3.91,0.36,3.51,3.91,3.51,3.55,0.0,2.44,1.37,11.27,109650.0,60415.0,49234.0,41622088.0,8.0,家用电器,江苏,8.0,31.28,31.28,3.8,10.37,996.0,0.0014,11.4,-9.7,-21.96
600635,大众公用,10.13,4.13,0.38,4.13,4.13,4.13,3.75,27.32,0.62,0.64,0.0,154904.0,118808.0,36095.0,63975340.0,29.52,供气供热,上海,24.19,99.9,99.9,4.13,10.36,1117.0,0.0006,0.0,13.77,-0.48
600462,九有股份,10.13,3.37,0.31,3.37,3.37,2.94,3.06,0.0,1.59,11.74,14.05,626407.0,372321.0,254085.0,208738464.0,5.34,元器件,深圳,5.34,17.99,17.99,3.33,10.36,1339.0,0.0088,14.63,3.06,-25.93
600290,华仪电气,10.1,4.58,0.42,4.35,4.58,4.19,4.16,151.46,4.74,12.22,9.37,643978.0,371023.0,272955.0,291371840.0,7.6,电气设备,浙江,5.27,24.13,34.8,4.52,10.32,1569.0,0.0078,9.31,4.33,-55.23
600165,新日恒力,10.1,4.58,0.42,4.22,4.58,4.16,4.16,7148.51,3.03,17.1,10.1,1170873.0,504450.0,666423.0,512645184.0,6.85,钢加工,宁夏,6.85,31.37,31.37,4.38,10.32,4051.0,0.0042,10.1,-0.22,-72.26
002141,贤丰控股,10.09,3.49,0.32,3.16,3.49,3.06,3.17,389.98,1.83,3.44,13.56,218800.0,177133.0,41666.0,73226584.0,11.35,元器件,广东,6.37,22.22,39.6,3.35,10.7,1771.0,0.0019,14.05,-31.57,-40.34
600235,民丰特纸,10.09,5.13,0.47,4.95,5.13,4.81,4.66,71.52,1.41,1.96,6.87,68863.0,37101.0,31762.0,34743696.0,3.51,造纸,浙江,3.51,18.02,18.02,5.05,10.31,398.0,0.0049,6.65,5.99,-9.52
600784,鲁银投资,10.08,5.46,0.5,4.93,5.46,4.91,4.96,35.78,3.32,5.4,11.09,306848.0,131557.0,175291.0,164922384.0,5.68,普钢,山东,5.68,31.02,31.02,5.37,10.31,2491.0,0.0022,11.2,1.68,0.0
600604,市北高新,10.08,4.26,0.39,4.26,4.26,4.26,3.87,104.5,0.4,0.52,0.0,69702.0,60244.0,9458.0,29693176.0,18.73,园区开发,上海,13.34,56.84,79.8,4.26,10.31,1207.0,0.0004,0.0,-2.96,-31.84
002066,瑞泰科技,10.07,7.87,0.72,7.14,7.87,7.0,7.15,167.24,3.2,3.82,12.17,88236.0,50903.0,37333.0,66635800.0,2.31,其他建材,北京,2.31,18.18,18.18,7.55,10.68,1307.0,0.0029,12.43,-7.52,-13.89
000793,华闻传媒,10.07,3.28,0.3,2.97,3.28,2.91,2.98,214.56,1.92,5.67,12.42,1088419.0,489749.0,598669.0,334923392.0,20.01,出版业,海南,19.21,62.99,65.64,3.08,10.68,3208.0,0.0018,12.71,-7.34,-60.91
000917,电广传媒,10.06,5.25,0.48,5.25,5.25,5.11,4.77,0.0,2.25,2.7,2.94,349066.0,232103.0,116963.0,182935552.0,14.18,影视音像,湖南,12.95,67.97,74.42,5.24,10.67,1461.0,0.0018,2.74,-0.76,-21.05
