broker,count,bamount,bcount,samount,scount,top3
安信证券股份有限公司上海杨浦区殷行路证券营业部,8,8054.17,5,6585.95,3,"蠡湖股份,兴瑞科技,民生控股,"
长江证券股份有限公司上海世纪大道证券营业部,12,27180.68,8,16346.91,4,"南京证券,长城证券,露笑科技,"
东吴证券股份有限公司苏州胥江路证券营业部,3,804.37,2,515.81,1,"吉鑫科技,荣安地产,苏州科达"
中国中投证券有限责任公司无锡清扬路证券营业部,24,15874.23,15,7604.12,9,"长城证券,民生控股,雅运股份,"
浙商证券股份有限公司温岭人民东路证券营业部,4,805.38,1,2624.4,3,"紫光学大,安德利"
华鑫证券有限责任公司深圳益田路证券营业部,3,1274.36,3,0.0,0,"民生控股,朗科智能,汉嘉设计"
财通证券股份有限公司杭州解放东路证券营业部,1,341.93,1,0.0,0,荣安地产
方正证券股份有限公司上海杨高南路证券营业部,14,8561.79,11,2285.86,3,"民生控股,蠡湖股份,高升控股,"
华泰证券股份有限公司南通分公司,12,5433.94,8,2509.87,4,"华西股份,山东路桥,台海核电,"
中信证券股份有限公司杭州市心南路证券营业部,3,1793.17,2,1274.37,1,"捷佳伟创,民生控股"
华泰证券股份有限公司青岛宁夏路证券营业部,6,2576.94,4,1613.55,2,"捷昌驱动,昂利康,山东路桥,"
新时代证券股份有限公司宜昌东山大道证券营业部,4,1166.35,2,1364.79,2,"民生控股,精伦电子"
华泰证券股份有限公司无锡金融一街证券营业部,9,4573.78,7,989.96,2,"浔兴股份,雪莱特,莲花健康,"
湘财证券股份有限公司台州祥和路证券营业部,10,3551.25,6,2961.55,4,"紫光学大,泰嘉股份,顶固集创,"
华泰证券股份有限公司北京月坛南街证券营业部,3,280.45,1,489.6,2,"荣安地产,高升控股,浔兴股份"
中泰证券股份有限公司深圳分公司,8,10282.24,7,1532.72,1,"德新交运,乐视网,南京证券,"
海通证券股份有限公司蚌埠中荣街证券营业部,6,365.02,1,1675.66,5,"民生控股,一汽夏利,华闻传媒,"
国信证券股份有限公司深圳福中分公司,1,270.87,1,0.0,0,荣安地产
广发证券股份有限公司泉州涂门街证券营业部,7,1818.24,3,2684.45,4,"斯太尔,民生控股,永新光学"
五矿证券有限公司杭州市中山北路证券营业部,2,0.0,0,1732.24,2,"永太科技,紫光学大"
中国银河证券股份有限公司杭州新塘路证券营业部,8,3122.13,2,5702.95,6,"兴瑞科技,金力永磁,五矿稀土,"
平安证券股份有限公司安徽分公司,1,0.0,0,939.11,1,紫光学大
东兴证券股份有限公司泉州丰泽街证券营业部,8,1317.55,3,4276.01,5,"融捷股份,和晶科技,中迪投资,"
兴业证券股份有限公司杭州清泰街证券营业部,2,0.0,0,871.28,2,"紫光学大,永太科技"
光大证券股份有限公司杭州庆春路证券营业部,4,1717.53,3,392.36,1,"金力永磁,新光圆成,荣安地产"
方正证券股份有限公司杭州延安路证券营业部,1,0.0,0,425.19,1,紫光学大
海通证券股份有限公司杭州解放路证券营业部,5,2446.02,2,2610.51,3,"汉嘉设计,新疆浩源,民生控股"
国金证券股份有限公司成都青白江青江东路证券营业部,4,1715.02,3,416.6,1,"中迪投资,华仪电气,紫光学大"
国信证券股份有限公司杭州市心中路证券营业部,4,301.4,2,496.59,2,"宁波精达,天晟新材,荣安地产,"
中泰证券股份有限公司上海建国中路证券营业部,8,10015.68,7,1093.89,1,"攀钢钒钛,新疆浩源,乐视网,"
中国银河证券股份有限公司杭州庆春路证券营业部,2,4211.8,2,0.0,0,"攀钢钒钛,德宏股份"
中国银河证券股份有限公司绍兴证券营业部,10,20196.41,8,6578.01,2,"长城证券,蠡湖股份,攀钢钒钛,"
兴业证券股份有限公司泉州分公司,9,5139.52,4,5095.49,5,"攀钢钒钛,金力永磁,科创信息,"
中天证券股份有限公司台州市府大道证券营业部,3,8010.72,3,0.0,0,"德新交运,恒立实业"
招商证券股份有限公司莆田延寿南路证券营业部,3,1668.08,1,643.18,2,"攀钢钒钛,闽东电力"
华鑫证券有限责任公司泉州南山南路证券营业部,5,2374.87,3,2824.84,2,"长城证券,恒立实业,智慧松德"
广州证券股份有限公司珠海银桦路证券营业部,1,0.0,0,2091.48,1,攀钢钒钛
中国中投证券有限责任公司杭州环球中心证券营业部,13,8362.81,9,3236.2,4,"紫江企业,捷佳伟创,隆盛科技,"
西藏东方财富证券股份有限公司拉萨团结路第二证券营业部,139,43960.86,69,37577.41,70,"长城证券,南京证券,瀚叶股份,"
光大证券股份有限公司奉化南山路证券营业部,6,2826.39,6,0.0,0,"恒立实业,合金投资,大通燃气,"
中信证券股份有限公司杭州丽景路证券营业部,1,592.47,1,0.0,0,一汽夏利
国泰君安证券股份有限公司上海江苏路证券营业部,11,11356.07,9,3300.04,2,"国海证券,瀚叶股份,阳光电源,"
华安证券股份有限公司铜陵淮河路证券营业部,1,0.0,0,1332.54,1,攀钢钒钛
国盛证券有限责任公司宁波桑田路证券营业部,7,2834.04,4,2015.72,3,"上海三毛,恒立实业,和晶科技,"
华西证券股份有限公司重庆中山三路证券营业部,5,1391.31,2,2175.39,3,"绿庭投资,一汽夏利,莲花健康"
华西证券股份有限公司攀枝花新华街证券营业部,1,0.0,0,1216.13,1,攀钢钒钛
招商证券股份有限公司北京建国路证券营业部,6,8223.3,4,3686.84,2,"国海证券,南京证券,麦达数字,"
申万宏源证券有限公司上海浦东新区张杨路证券营业部,1,0.0,0,452.7,1,恒立实业
中信证券股份有限公司上海东方路证券营业部,1,0.0,0,896.23,1,攀钢钒钛
华鑫证券有限责任公司杭州飞云江路证券营业部,20,11733.38,16,2183.52,4,"恒立实业,新疆浩源,威唐工业,"
申万宏源西部证券有限公司北京紫竹院路证券营业部,2,5819.21,2,0.0,0,"国海证券,南京证券"
兴业证券股份有限公司安徽分公司,2,388.46,1,392.06,1,一汽夏利
平安证券股份有限公司福州长乐北路证券营业部,5,339.08,1,2388.49,4,"百邦科技,恒立实业,南京证券"
安信证券股份有限公司广州番禺万达广场证券营业部,3,0.0,0,1868.88,3,恒立实业
华泰证券股份有限公司佛山灯湖东路证券营业部,3,4338.97,3,0.0,0,"国海证券,奥马电器"
西藏东方财富证券股份有限公司南京珠江路证券营业部,1,331.08,1,0.0,0,一汽夏利
信达证券股份有限公司广州番禺富华东路证券营业部,1,3169.65,1,0.0,0,国海证券
海通证券股份有限公司滁州天长东路证券营业部,3,476.21,1,1055.64,2,"和晶科技,一汽夏利"
华泰证券股份有限公司上海西藏南路证券营业部,2,232.9,1,324.8,1,"长江投资,恒立实业"
国元证券股份有限公司深圳深南大道中国凤凰大厦营业部,2,0.0,0,1058.2,2,恒立实业
东兴证券股份有限公司上海肇嘉浜路证券营业部,8,3519.14,5,1741.56,3,"亚星化学,南京证券,红宇新材,"
申万宏源证券有限公司上海崇明区川心街证券营业部,1,0.0,0,5716.67,1,国海证券
国信证券股份有限公司珠海文园路五洲花城证券营业部,1,0.0,0,362.44,1,一汽夏利
西藏东方财富证券股份有限公司上海徐汇宛平南路证券营业部,1,0.0,0,1811.47,1,国海证券
国金证券股份有限公司上海互联网证券分公司,20,9539.78,12,6902.82,8,"金力永磁,雅运股份,斯太尔,"
东方证券股份有限公司上海普陀区光新路证券营业部,1,0.0,0,1509.69,1,国海证券
华泰证券股份有限公司牡丹江西一条路证券营业部,1,0.0,0,1396.33,1,国海证券
华鑫证券有限责任公司西安解放路证券营业部,2,4243.37,2,0.0,0,"天风证券,*ST凯迪"
海通证券股份有限公司丹阳东方路证券营业部,6,415.07,1,11719.89,5,"*ST凯迪,永新光学,瀚叶股份"
光大证券股份有限公司宁波甬江大道证券营业部,6,5936.18,5,2290.0,1,"奥马电器,华仪电气,五矿稀土,"
中国银河证券股份有限公司哈尔滨中山路证券营业部,1,218.27,1,0.0,0,*ST凯迪
中国银河证券股份有限公司宁波柳汀街证券营业部,3,171.36,1,1488.88,2,"*ST凯迪,南京高科"
方正证券股份有限公司邵阳邵水西路证券营业部,1,0.0,0,254.5,1,*ST凯迪
长城国瑞证券有限公司北京远大路证券营业部,1,0.0,0,238.04,1,*ST凯迪
中信证券股份有限公司深圳总部证券营业部,3,836.46,2,51.3,1,"森马服饰,华工科技,康达新材"
财富证券有限责任公司邵阳城北路证券营业部,1,374.16,1,0.0,0,华工科技
长城证券股份有限公司仙桃钱沟路证券营业部,13,13399.34,11,2525.77,2,"德新交运,乐视网,ST河化,"
华林证券股份有限公司长沙韶山中路证券营业部,1,0.0,0,131.11,1,*ST凯迪
海通证券股份有限公司苏州南园北路证券营业部,1,354.63,1,0.0,0,华工科技
深股通专用,30,25729.39,18,38993.29,12,"分众传媒,九芝堂,森马服饰,"
西藏东方财富证券股份有限公司浙江分公司,4,1668.0,3,217.4,1,"凯瑞德,*ST德奥,*ST华信"
海通证券股份有限公司上海宣化路证券营业部,1,0.0,0,2334.56,1,华工科技
天风证券股份有限公司资阳广场路证券营业部,2,142.0,1,149.6,1,*ST华信
申万宏源西部证券有限公司南京汉中路证券营业部,1,0.0,0,1525.18,1,华工科技
财通证券股份有限公司杭州龙井路证券营业部,1,140.65,1,0.0,0,*ST华信
