code,name,pchange,amount,buy,sell,reason,bratio,sratio,date
000007,全新好,-7.9843,2707.62,1123.09,1584.53,日跌幅偏离值达到7%的前五只证券,0.05,0.07,2018-11-06
000150,宜华健康,-9.7744,11720.46,6060.42,5660.04,日跌幅偏离值达到7%的前五只证券,0.25,0.24,2018-11-06
000498,山东路桥,9.9602,4793.15,3096.51,1696.64,日涨幅偏离值达到7%的前五只证券,0.09,0.05,2018-11-06
000532,华金资本,9.9678,6474.77,5282.57,1192.19,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.30,0.07,2018-11-06
000609,中迪投资,-8.8629,3049.99,1423.24,1626.75,日跌幅偏离值达到7%的前五只证券,0.10,0.11,2018-11-06
000622,恒立实业,9.9457,10290.12,6895.36,3394.76,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.61,0.30,2018-11-06
000633,合金投资,-9.9825,2863.07,1570.70,1292.37,日跌幅偏离值达到7%的前五只证券,0.10,0.08,2018-11-06
000760,斯太尔,9.9237,6784.00,2990.42,3793.58,日涨幅偏离值达到7%的前五只证券,0.07,0.08,2018-11-06
000760,斯太尔,9.9237,7816.74,4211.54,3605.19,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.07,0.06,2018-11-06
000793,华闻传媒,10.0671,7409.31,3788.40,3620.92,日涨幅偏离值达到7%的前五只证券,0.11,0.11,2018-11-06
000917,电广传媒,10.0629,11396.21,8316.13,3080.08,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.25,0.09,2018-11-06
000931,中关村,10.0152,6669.29,4008.00,2661.29,日涨幅偏离值达到7%的前五只证券,0.12,0.08,2018-11-06
000931,中关村,10.0152,9142.35,5984.17,3158.18,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.12,0.06,2018-11-06
000936,华西股份,10.0386,7921.47,4309.55,3611.92,日涨幅偏离值达到7%的前五只证券,0.15,0.12,2018-11-06
000936,华西股份,10.0386,10410.32,5994.45,4415.87,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.15,0.11,2018-11-06
002054,德美化工,9.9609,9536.01,7283.34,2252.67,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.45,0.14,2018-11-06
002072,凯瑞德,2.4531,10153.25,2557.00,7596.25,日换手率达到20%的前五只证券,0.05,0.16,2018-11-06
002137,麦达数字,9.9723,5370.94,3143.24,2227.70,日涨幅偏离值达到7%的前五只证券,0.11,0.08,2018-11-06
002137,麦达数字,9.9723,7227.64,4034.15,3193.49,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.08,0.06,2018-11-06
002192,融捷股份,10.0337,19943.83,14293.71,5650.12,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.26,0.10,2018-11-06
002208,合肥城建,9.9798,7109.97,3354.43,3755.54,日涨幅偏离值达到7%的前五只证券,0.13,0.15,2018-11-06
002450,康得新,-9.9941,11384.21,5113.54,6270.67,日跌幅偏离值达到7%的前五只证券,0.75,0.92,2018-11-06
002459,天业通联,9.9698,3238.49,2336.78,901.71,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.87,0.34,2018-11-06
002575,群兴玩具,9.9156,9925.68,5416.72,4508.97,连续三个交易日内，涨幅偏离值累计达到20%的证券,0.20,0.17,2018-11-06
